"ID","IDmuni","Municipio","IDComarca","Comarca","EspacioProtegido","FiguraProteccion","AreaHa_EP"
"1",34003,"Abia de las Torres",3402,"Campos","No","No",NA
"2",34004,"Aguilar de Campoo",3407,"Aguilar","Montaña Palentina","Parque Natural",347.789447157091
"3",34004,"Aguilar de Campoo",3407,"Aguilar","Las Tuerces","Paisaje Protegido",1287.33666941962
"4",34005,"Alar del Rey",3404,"Boedo-Ojeda","No","No",NA
"5",34015,"Arconada",3402,"Campos","No","No",NA
"6",34020,"Ayuela",3403,"Saldaña-Valdavia","No","No",NA
"7",34025,"Bárcena de Campos",3402,"Campos","No","No",NA
"8",34027,"Barruelo de Santullán",3407,"Aguilar","No","No",NA
"9",34028,"Báscones de Ojeda",3404,"Boedo-Ojeda","No","No",NA
"10",34034,"Boadilla del Camino",3402,"Campos","No","No",NA
"11",34037,"Buenavista de Valdavia",3403,"Saldaña-Valdavia","No","No",NA
"12",34038,"Bustillo de la Vega",3403,"Saldaña-Valdavia","No","No",NA
"13",34039,"Bustillo del Páramo de Carrión",3403,"Saldaña-Valdavia","No","No",NA
"14",34041,"Calahorra de Boedo",3404,"Boedo-Ojeda","No","No",NA
"15",34042,"Calzada de los Molinos",3402,"Campos","No","No",NA
"16",34047,"Carrión de los Condes",3402,"Campos","No","No",NA
"17",34049,"Castrejón de la Peña",3406,"Cervera","Montaña Palentina","Parque Natural",1682.74082828825
"18",34052,"Castrillo de Villavega",3402,"Campos","No","No",NA
"19",34055,"Cervatos de la Cueza",3402,"Campos","No","No",NA
"22",34056,"Cervera de Pisuerga",3406,"Cervera","Montaña Palentina","Parque Natural",25012.5938176379
"23",34061,"Collazos de Boedo",3404,"Boedo-Ojeda","No","No",NA
"24",34062,"Congosto de Valdavia",3403,"Saldaña-Valdavia","No","No",NA
"25",34067,"Dehesa de Montejo",3406,"Cervera","Montaña Palentina","Parque Natural",841.619993534004
"26",34068,"Dehesa de Romanos",3404,"Boedo-Ojeda","No","No",NA
"27",34071,"Espinosa de Villagonzalo",3402,"Campos","No","No",NA
"28",34073,"Fresno del Río",3405,"Guardo","No","No",NA
"29",34074,"Frómista",3402,"Campos","No","No",NA
"30",34080,"Guardo",3405,"Guardo","No","No",NA
"31",34083,"Herrera de Pisuerga",3404,"Boedo-Ojeda","No","No",NA
"32",34089,"Itero de la Vega",3402,"Campos","No","No",NA
"33",34091,"Lagartos",3403,"Saldaña-Valdavia","No","No",NA
"34",34092,"Lantadilla",3402,"Campos","No","No",NA
"35",34093,"La Vid de Ojeda",3404,"Boedo-Ojeda","No","No",NA
"36",34094,"Ledigos",3403,"Saldaña-Valdavia","No","No",NA
"37",34100,"Mantinos",3405,"Guardo","No","No",NA
"38",34101,"Marcilla de Campos",3402,"Campos","No","No",NA
"39",34107,"Micieces de Ojeda",3404,"Boedo-Ojeda","No","No",NA
"40",34109,"Moratinos",3402,"Campos","No","No",NA
"41",34110,"Mudá",3406,"Cervera","No","No",NA
"42",34112,"Nogal de las Huertas",3402,"Campos","No","No",NA
"43",34113,"Olea de Boedo",3404,"Boedo-Ojeda","No","No",NA
"44",34114,"Olmos de Ojeda",3404,"Boedo-Ojeda","No","No",NA
"45",34116,"Osornillo",3402,"Campos","No","No",NA
"46",34122,"Páramo de Boedo",3404,"Boedo-Ojeda","No","No",NA
