"ID","Estadillo","lng","lat","Municipio","IDmuni","DANOS1N","DANOS2N","DANOS3N"
"1",22,-4.898488,42.857966,"Velilla del R�o Carri�n",34199,"","Se advierten daños en las ramas de importancia moderada causados por viento","Se advierten daños de importancia moderada causados por fuego"
"2",23,-4.898212,42.848966,"Velilla del R�o Carri�n",34199,"Se advierten daños en la corteza de pequeña importancia por muérdago y afines","Se advierten daños en la corteza de pequeña importancia causados por insectos","Se advierten daños en las ramas de importancia moderada causados por viento"
"3",25,-4.861516,42.849569,"Velilla del R�o Carri�n",34199,"","","Se advierten daños de importancia moderada causados por fuego"
"4",47,-4.606715,42.934473,"Cervera de Pisuerga",34056,"","","No se advierten daños"
"5",49,-4.594232,42.925643,"Cervera de Pisuerga",34056,"","","No se advierten daños"
"6",53,-4.765193,42.905124,"Velilla del R�o Carri�n",34199,"","Se advierten daños en las hojas de pequeña importancia causados por insectos","Se advierten daños de importancia moderada causados por fuego"
"7",54,-4.740705,42.905499,"Velilla del R�o Carri�n",34199,"","","Se advierten daños en las hojas de pequeña importancia causados por insectos"
"8",58,-4.72821,42.896684,"Velilla del R�o Carri�n",34199,"","Se advierten daños en la corteza de pequeña importancia causados por fauna silvestre","Se advierten daños en las hojas de importancia moderada causados por insectos"
"9",62,-4.740199,42.887497,"Velilla del R�o Carri�n",34199,"","Se advierten daños en la corteza de pequeña importancia causados por fauna silvestre","Se advierten daños en las hojas de pequeña importancia causados por insectos"
"10",66,-4.642271,42.888944,"Cervera de Pisuerga",34056,"","","No se advierten daños"
"11",67,-4.544335,42.890308,"Cervera de Pisuerga",34056,"","","No se advierten daños"
"12",69,-4.837852,42.876966,"Velilla del R�o Carri�n",34199,"","Se advierten daños en la corteza de importancia moderada causados por fauna silvestre","Se advierten daños graves causados por fuego"
"13",70,-4.764423,42.878121,"Velilla del R�o Carri�n",34199,"","","No se advierten daños"
"14",71,-4.752185,42.878309,"Velilla del R�o Carri�n",34199,"","Se advierten daños en el tronco de pequeña importancia causados por viento","Se advierten daños en las hojas de pequeña importancia causados por insectos"
"15",72,-4.739946,42.878496,"Velilla del R�o Carri�n",34199,"","Se advierten daños en las hojas de pequeña importancia causados por insectos","Se advierten daños de importancia moderada causados por viento"
"16",73,-4.715468,42.878866,"Velilla del R�o Carri�n",34199,"","","No se advierten daños"
"17",79,-4.764167,42.86912,"Velilla del R�o Carri�n",34199,"","","No se advierten daños"
"18",81,-4.715219,42.869864,"Velilla del R�o Carri�n",34199,"","","No se advierten daños"
"19",82,-4.702981,42.870047,"Velilla del R�o Carri�n",34199,"","","Se advierten daños de pequeña importancia causados por la fauna silvestre"
"20",89,-4.568364,42.871971,"Cervera de Pisuerga",34056,"","","No se advierten daños"
"21",90,-4.556125,42.872138,"Cervera de Pisuerga",34056,"","","No se advierten daños"
"22",92,-4.837318,42.858965,"Velilla del R�o Carri�n",34199,"","","Se advierten daños en las hojas de pequeña importancia causados por insectos"
"23",93,-4.73944,42.860494,"Velilla del R�o Carri�n",34199,"","","No se advierten daños"
"24",94,-4.727205,42.860679,"Velilla del R�o Carri�n",34199,"","","No se advierten daños"
"25",96,-4.702734,42.861046,"Velilla del R�o Carri�n",34199,"","","No se advierten daños"
"26",100,-4.604846,42.86246,"Cervera de Pisuerga",34056,"","","No se advierten daños"
"27",106,-4.837051,42.849964,"Velilla del R�o Carri�n",34199,"","","Se advierten daños en las hojas de pequeña importancia causados por insectos"
"28",107,-4.751421,42.851306,"Velilla del R�o Carri�n",34199,"","","No se advierten daños"
"29",108,-4.678019,42.852406,"Santib��ez de la Pe�a",34171,"","","No se advierten daños"
"30",109,-4.665785,42.852585,"Santib��ez de la Pe�a",34171,"","","No se advierten daños"
"31",111,-4.849015,42.840767,"Velilla del R�o Carri�n",34199,"","","Se advierten daños en las hojas de pequeña importancia causados por insectos"
"32",112,-4.689762,42.834223,"Santib��ez de la Pe�a",34171,"","","No se advierten daños"
"33",113,-4.665301,42.834582,"Santib��ez de la Pe�a",34171,"","","Se advierten daños de pequeña importancia causados por fuego"
"34",123,-4.44808,42.963605,"Cervera de Pisuerga",34056,"","","No se advierten daños"
"35",125,-4.484635,42.954132,"Cervera de Pisuerga",34056,"","","No se advierten daños"
"36",128,-4.496672,42.94497,"Cervera de Pisuerga",34056,"","","No se advierten daños"
"37",129,-4.484419,42.94513,"Cervera de Pisuerga",34056,"Se advierten daños en las hojas de importancia moderada por hongos","Se advierten daños en las hojas de importancia moderada causados por insectos","Se advierten daños graves en las ramas por causas desconocidas"
"38",131,-4.398642,42.94621,"Cervera de Pisuerga",34056,"","","No se advierten daños"
"39",133,-4.496454,42.935968,"Cervera de Pisuerga",34056,"","","No se advierten daños"
"40",144,-4.459274,42.918438,"Cervera de Pisuerga",34056,"","","Se advierten daños en la corteza de importancia moderada por causas antropogénicas"
"41",145,-4.447025,42.918594,"Cervera de Pisuerga",34056,"","","No se advierten daños"
"42",146,-4.422528,42.918901,"Cervera de Pisuerga",34056,"","","Se advierten daños graves causados por fuego"
"43",147,-4.410279,42.919053,"Cervera de Pisuerga",34056,"","","No se advierten daños"
"44",151,-4.508047,42.908801,"Cervera de Pisuerga",34056,"","","No se advierten daños"
"45",152,-4.4958,42.908962,"Cervera de Pisuerga",34056,"","","No se advierten daños"
"46",154,-4.459061,42.909436,"Cervera de Pisuerga",34056,"","","No se advierten daños"
"47",157,-4.275352,42.911631,"Barruelo de Santull�n",34027,"","","Se advierten daños en el tronco de pequeña importancia causados por fuego"
"48",159,-4.507827,42.899799,"Cervera de Pisuerga",34056,"","","No se advierten daños"
"49",160,-4.495583,42.89996,"Cervera de Pisuerga",34056,"","","No se advierten daños"
"50",162,-4.26292,42.902763,"Barruelo de Santull�n",34027,"","","No se advierten daños"
"51",168,-4.238247,42.894028,"Aguilar de Campoo",34004,"","","No se advierten daños"
"52",169,-4.470666,42.882273,"Cervera de Pisuerga",34056,"","","No se advierten daños"
"53",172,-4.519409,42.872631,"Cervera de Pisuerga",34056,"","","Se advierten daños en las hojas de importancia moderada por causas desconocida"
"54",173,-4.507169,42.872793,"Cervera de Pisuerga",34056,"","Se advierten daños en las hojas de pequeña importancia por causas desconocidas","Se advierten daños graves en la corteza causados por fuego"
"55",174,-4.470452,42.873271,"Cervera de Pisuerga",34056,"","","Se advierten daños graves en las hojas por causas desconocidas"
"56",175,-4.445973,42.873582,"Cervera de Pisuerga",34056,"","","No se advierten daños"
"57",177,-4.27461,42.875619,"Barruelo de Santull�n",34027,"","","No se advierten daños"
"58",179,-4.237887,42.876022,"Aguilar de Campoo",34004,"","","No se advierten daños"
"59",181,-4.237707,42.867019,"Aguilar de Campoo",34004,"","Se advierten daños en las guía terminal de importancia moderada causados por nieve","Se advierten daños en el tronco de pequeña importancia causados por fuego"
"60",183,-4.518967,42.854627,"Cervera de Pisuerga",34056,"","","No se advierten daños"
"61",184,-4.494496,42.854949,"Cervera de Pisuerga",34056,"","","No se advierten daños"
"62",189,-4.347466,42.847769,"Aguilar de Campoo",34004,"","","Se advierten daños en las hojas de pequeña importancia causados por insectos"
"63",190,-4.445133,42.837573,"Cervera de Pisuerga",34056,"","","No se advierten daños"
"64",192,-4.273869,42.839607,"Aguilar de Campoo",34004,"","","No se advierten daños"
"65",193,-4.885433,42.831168,"Velilla del R�o Carri�n",34199,"","Se advierten daños de pequeña importancia causados por fuego","Se advierten daños en las hojas de pequeña importancia causados por insectos"
"66",194,-4.873204,42.831368,"Velilla del R�o Carri�n",34199,"","Se advierten daños en las hojas de pequeña importancia causados por insectos","Se advierten daños en las ramas de pequeña importancia causados por viento"
"67",196,-4.884886,42.813167,"Guardo",34080,"","","Se advierten daños en la guía terminal de importancia moderada causados por viento"
"68",200,-4.883247,42.759164,"Mantinos",34100,"","","No se advierten daños"
"69",201,-4.871033,42.759364,"Mantinos",34100,"","","No se advierten daños"
"70",202,-4.882975,42.750164,"Mantinos",34100,"","","Se advierten daños en las ramas de pequeña importancia causados por nieve"
"71",203,-4.870762,42.750364,"Mantinos",34100,"","","No se advierten daños"
"72",204,-4.894913,42.740962,"Villalba de Guardo",34214,"","","No se advierten daños"
"73",205,-4.882702,42.741163,"Villalba de Guardo",34214,"","","No se advierten daños"
"74",206,-4.870492,42.741363,"Mantinos",34100,"","","No se advierten daños"
"75",207,-4.894639,42.731961,"Villalba de Guardo",34214,"","","No se advierten daños"
"76",208,-4.88243,42.732163,"Villalba de Guardo",34214,"","","No se advierten daños"
"77",209,-4.882158,42.723162,"Villalba de Guardo",34214,"","","No se advierten daños"
"78",210,-4.881886,42.714161,"Villalba de Guardo",34214,"","","Se advierten daños en las ramas de pequeña importancia causados por nieve"
"79",211,-4.86941,42.705361,"Fresno del R�o",34073,"","","No se advierten daños"
"80",213,-4.881342,42.69616,"Fresno del R�o",34073,"","","Se advierten daños en las hojas de pequeña importancia causados por insectos"
"81",214,-4.86914,42.69636,"Fresno del R�o",34073,"","","Se advierten daños en las hojas de pequeña importancia causados por insectos"
"82",215,-4.856938,42.696559,"Fresno del R�o",34073,"","","Se advierten daños en las hojas de pequeña importancia causados por insectos"
"83",216,-4.88107,42.68716,"Fresno del R�o",34073,"","Se advierten daños en las hojas de pequeña importancia causados por insectos","Se advierten daños en las copas de importancia moderada causados por viento"
"84",217,-4.86887,42.687359,"Fresno del R�o",34073,"","","Se advierten daños en las hojas de pequeña importancia causados por insectos"
"85",218,-4.856669,42.687558,"Fresno del R�o",34073,"","","Se advierten daños en las hojas de pequeña importancia causados por insectos"
"86",219,-4.892997,42.677958,"Fresno del R�o",34073,"","","Se advierten daños en las hojas de pequeña importancia causados por insectos"
"87",220,-4.892724,42.668957,"Fresno del R�o",34073,"","","Se advierten daños en las hojas de pequeña importancia causados por insectos"
"88",223,-4.835453,42.79596,"Guardo",34080,"","","Se advierten daños en las hojas de pequeña importancia causados por insectos"
"89",224,-4.786564,42.796734,"Santib��ez de la Pe�a",34171,"","","No se advierten daños"
"90",227,-4.542094,42.800288,"Dehesa de Montejo",34067,"","","Se advierten daños en la corteza de importancia moderada causados por fuego"
"91",229,-4.688292,42.780215,"Respenda de la Pe�a",34151,"","","Se advierten daños de importancia moderada causados por fuego"
"92",231,-4.602519,42.772443,"Castrej�n de la Pe�a",34049,"","","No se advierten daños"
"93",234,-4.736667,42.761481,"Santib��ez de la Pe�a",34171,"","","No se advierten daños"
"94",235,-4.724451,42.761666,"Respenda de la Pe�a",34151,"","","No se advierten daños"
"95",236,-4.712235,42.761849,"Respenda de la Pe�a",34151,"","","Se advierten daños de importancia moderada causados por fuego"
"96",241,-4.797484,42.751538,"Santib��ez de la Pe�a",34171,"","","Se advierten daños en las hojas de pequeña importancia causados por insectos"
"97",242,-4.785271,42.751729,"Santib��ez de la Pe�a",34171,"","Se advierten daños en las ramas de pequeña importancia causados por viento","Se advierten daños en las hojas de pequeña importancia causados por insectos"
"98",243,-4.61427,42.754268,"Castrej�n de la Pe�a",34049,"","","No se advierten daños"
"99",246,-4.577624,42.754778,"Castrej�n de la Pe�a",34049,"","","Se advierten daños en las hojas de pequeña importancia causados por insectos"
"100",250,-4.797224,42.742537,"Santib��ez de la Pe�a",34171,"","","Se advierten daños en las hojas de pequeña importancia causados por insectos"
"101",251,-4.785012,42.742728,"Santib��ez de la Pe�a",34171,"","Se advierten daños en las ramas de pequeña importancia causados por viento","Se advierten daños en las hojas de pequeña importancia causados por insectos"
"102",252,-4.711739,42.743847,"Respenda de la Pe�a",34151,"","","Se advierten daños de importancia moderada causados por fuego"
"103",253,-4.687314,42.744209,"Respenda de la Pe�a",34151,"","","Se advierten daños en las hojas de pequeña importancia causados por insectos"
