"ID","IDmuni","Municipio","Agente","AgenteN","Pies_con_este_dano","Total_pies","Porcentaje_dano"
"1",34004,"Aguilar de Campoo",100,"No se advierten da√±os",430,666,64.56
"2",34004,"Aguilar de Campoo",200,"Causas desconocidas",27,666,4.05
"3",34004,"Aguilar de Campoo",300,"Da√±os bi√≥ticos",70,666,10.51
"4",34004,"Aguilar de Campoo",310,"Hongos",2,666,0.3
"5",34004,"Aguilar de Campoo",311,"Insectos",97,666,14.56
"6",34004,"Aguilar de Campoo",312,"Muerdago y afines",1,666,0.15
"7",34004,"Aguilar de Campoo",313,"Plantas ep√≠fitas",1,666,0.15
"8",34004,"Aguilar de Campoo",316,"Dominancia",29,666,4.35
"9",34004,"Aguilar de Campoo",321,"Saca de madera",1,666,0.15
"10",34004,"Aguilar de Campoo",322,"Causas antr√≥picas",2,666,0.3
"11",34004,"Aguilar de Campoo",400,"Da√±os abi√≥ticos",4,666,0.6
"12",34004,"Aguilar de Campoo",421,"Fuego",2,666,0.3
"13",34005,"Alar del Rey",100,"No se advierten da√±os",56,97,57.73
"14",34005,"Alar del Rey",200,"Causas desconocidas",5,97,5.15
"15",34005,"Alar del Rey",310,"Hongos",1,97,1.03
"16",34005,"Alar del Rey",311,"Insectos",22,97,22.68
"17",34005,"Alar del Rey",316,"Dominancia",13,97,13.4
"18",34020,"Ayuela",100,"No se advierten da√±os",79,80,98.75
"19",34020,"Ayuela",200,"Causas desconocidas",1,80,1.25
"20",34025,"B·rcena de Campos",100,"No se advierten da√±os",13,17,76.47
"21",34025,"B·rcena de Campos",311,"Insectos",4,17,23.53
"22",34027,"Barruelo de Santull·n",100,"No se advierten da√±os",122,165,73.94
"23",34027,"Barruelo de Santull·n",200,"Causas desconocidas",15,165,9.09
"24",34027,"Barruelo de Santull·n",300,"Da√±os bi√≥ticos",2,165,1.21
"25",34027,"Barruelo de Santull·n",310,"Hongos",6,165,3.64
"26",34027,"Barruelo de Santull·n",316,"Dominancia",19,165,11.52
"27",34027,"Barruelo de Santull·n",400,"Da√±os abi√≥ticos",1,165,0.61
"28",34028,"B·scones de Ojeda",100,"No se advierten da√±os",2,5,40
"29",34028,"B·scones de Ojeda",200,"Causas desconocidas",3,5,60
"30",34037,"Buenavista de Valdavia",100,"No se advierten da√±os",374,461,81.13
"31",34037,"Buenavista de Valdavia",200,"Causas desconocidas",11,461,2.39
"32",34037,"Buenavista de Valdavia",300,"Da√±os bi√≥ticos",13,461,2.82
"33",34037,"Buenavista de Valdavia",310,"Hongos",8,461,1.74
"34",34037,"Buenavista de Valdavia",311,"Insectos",30,461,6.51
"35",34037,"Buenavista de Valdavia",316,"Dominancia",20,461,4.34
"36",34037,"Buenavista de Valdavia",321,"Saca de madera",2,461,0.43
"37",34037,"Buenavista de Valdavia",322,"Causas antr√≥picas",3,461,0.65
"38",34041,"Calahorra de Boedo",100,"No se advierten da√±os",30,47,63.83
"39",34041,"Calahorra de Boedo",200,"Causas desconocidas",3,47,6.38
"40",34041,"Calahorra de Boedo",300,"Da√±os bi√≥ticos",2,47,4.26
"41",34041,"Calahorra de Boedo",310,"Hongos",4,47,8.51
"42",34041,"Calahorra de Boedo",311,"Insectos",8,47,17.02
"43",34049,"CastrejÛn de la PeÒa",100,"No se advierten da√±os",307,348,88.22
"44",34049,"CastrejÛn de la PeÒa",200,"Causas desconocidas",4,348,1.15
"45",34049,"CastrejÛn de la PeÒa",311,"Insectos",4,348,1.15
"46",34049,"CastrejÛn de la PeÒa",316,"Dominancia",10,348,2.87
"47",34049,"CastrejÛn de la PeÒa",321,"Saca de madera",10,348,2.87
"48",34049,"CastrejÛn de la PeÒa",322,"Causas antr√≥picas",12,348,3.45
"49",34049,"CastrejÛn de la PeÒa",423,"Erosi√≥n",1,348,0.29
"50",34052,"Castrillo de Villavega",200,"Causas desconocidas",3,3,100
"51",34055,"Cervatos de la Cueza",100,"No se advierten da√±os",4,4,100
"52",34056,"Cervera de Pisuerga",100,"No se advierten da√±os",810,1180,68.64
"53",34056,"Cervera de Pisuerga",200,"Causas desconocidas",105,1180,8.9
"54",34056,"Cervera de Pisuerga",300,"Da√±os bi√≥ticos",42,1180,3.56
"55",34056,"Cervera de Pisuerga",310,"Hongos",15,1180,1.27
"56",34056,"Cervera de Pisuerga",316,"Dominancia",176,1180,14.92
"57",34056,"Cervera de Pisuerga",322,"Causas antr√≥picas",2,1180,0.17
"58",34056,"Cervera de Pisuerga",400,"Da√±os abi√≥ticos",16,1180,1.36
"59",34056,"Cervera de Pisuerga",421,"Fuego",14,1180,1.19
"60",34061,"Collazos de Boedo",100,"No se advierten da√±os",35,37,94.59
"61",34061,"Collazos de Boedo",316,"Dominancia",1,37,2.7
"62",34061,"Collazos de Boedo",321,"Saca de madera",1,37,2.7
