"ID","IDmuni","SP1","Area_ha50","Area_ha25","Especie"
"4",34004,21,726.251006237175,741.927887498054,"P. sylvestris"
"5",34004,25,2740.60603549355,2517.00464838787,"P. nigra"
"6",34004,26,83.7699163696834,201.796285274842,"P. pinaster"
"7",34004,42,228.706746945518,235.012075850869,"Q. petraea"
"8",34004,43,2699.90529894003,2874.20959138304,"Q. pyrenaica"
"9",34004,44,1326.36588480709,1623.00042720528,"Q. faginea"
"10",34005,21,126.113188807158,110.508132995705,"P. sylvestris"
"11",34005,25,504.10749397368,766.732658192916,"P. nigra"
"12",34005,26,50.8426079541871,169.779708393522,"P. pinaster"
"13",34005,43,136.645132510715,260.820145015004,"Q. pyrenaica"
"14",34005,44,568.950681380408,581.665830796504,"Q. faginea"
"15",34020,21,785.143940385727,811.043328315737,"P. sylvestris"
"16",34020,25,41.3453533351453,24.4854189946679,"P. nigra"
"17",34020,26,52.6377226710715,53.2590508047234,"P. pinaster"
"18",34020,43,295.820331917069,284.760762003659,"Q. pyrenaica"
"19",34025,25,203.649298722078,260.028500868218,"P. nigra"
"20",34025,26,93.8421042535851,49.4453078287016,"P. pinaster"
"21",34025,43,91.1572212037056,77.5436706525702,"Q. pyrenaica"
"22",34027,21,111.074617130449,99.5645095159848,"P. sylvestris"
"23",34027,25,194.347187063061,196.91181675232,"P. nigra"
"24",34027,42,197.708357596922,148.557662745446,"Q. petraea"
"25",34027,43,1887.7543319515,1937.63119110316,"Q. pyrenaica"
"26",34028,21,20.9449200053338,28.0773376382383,"P. sylvestris"
"27",34028,25,81.094455682739,114.095462715378,"P. nigra"
"28",34028,26,10.882503497714,14.8619934829401,"P. pinaster"
"29",34028,43,589.697513110962,600.018791348049,"Q. pyrenaica"
"30",34037,21,1973.74387259134,1902.88228105254,"P. sylvestris"
"31",34037,25,842.393966432668,980.493612296994,"P. nigra"
"32",34037,26,20.873405687352,22.1576783352622,"P. pinaster"
"33",34037,43,971.606958387742,898.104012025603,"Q. pyrenaica"
"35",34039,43,293.941996489817,239.160845512646,"Q. pyrenaica"
"37",34041,21,44.4327767437519,100.411856349245,"P. sylvestris"
"38",34041,25,19.8815687385723,55.0787112832257,"P. nigra"
"39",34041,26,253.258703422327,179.956992246898,"P. pinaster"
"43",34049,21,915.078702465278,1227.73865062764,"P. sylvestris"
"44",34049,25,349.307210123391,381.037101972848,"P. nigra"
"45",34049,26,387.409767561195,261.847217765587,"P. pinaster"
"46",34049,43,1187.40024348916,1100.7287068694,"Q. pyrenaica"
"54",34055,43,232.606617670122,63.709143581106,"Q. pyrenaica"
"55",34055,44,130.875155004195,284.447233093954,"Q. faginea"
"56",34056,21,640.125059613205,725.450333597642,"P. sylvestris"
"57",34056,25,90.3414932308634,156.286344108015,"P. nigra"
"59",34056,42,1774.06179321508,1941.60467196835,"Q. petraea"
"60",34056,43,8437.55637029037,7837.29798874658,"Q. pyrenaica"
"61",34056,44,377.58014010059,442.302674668562,"Q. faginea"
"63",34061,25,28.6895179065055,64.5975444021589,"P. nigra"
"64",34061,26,194.295647506871,174.281790983084,"P. pinaster"
"65",34061,43,534.859239704693,542.76363995684,"Q. pyrenaica"
"66",34062,21,1096.83983659109,1240.40315019299,"P. sylvestris"
"67",34062,25,415.761331349596,301.28474511883,"P. nigra"
"68",34062,26,21.9498311408997,24.3746566361062,"P. pinaster"
"69",34062,43,1646.14674309925,1596.9010114629,"Q. pyrenaica"
"73",34067,43,975.985864986628,1028.60728490175,"Q. pyrenaica"
"74",34067,44,160.791186382047,235.507310957611,"Q. faginea"
"76",34068,25,10.4629087760977,104.061535634192,"P. nigra"
"77",34068,26,199.132042093958,180.648317487647,"P. pinaster"
"78",34068,43,269.288011946229,264.532205623738,"Q. pyrenaica"
"80",34071,26,134.914715569964,122.563120480328,"P. pinaster"
"81",34071,43,168.715882217855,172.840578068726,"Q. pyrenaica"
"82",34073,21,992.285318105397,892.97108100202,"P. sylvestris"
"83",34073,25,223.960358595512,336.972208764803,"P. nigra"
"85",34073,43,282.318556463189,314.24029765718,"Q. pyrenaica"
"86",34080,21,734.507240239807,932.513500459615,"P. sylvestris"
"89",34080,43,2261.42183770423,2056.83869332028,"Q. pyrenaica"
"90",34083,21,99.6907995931357,120.34698559526,"P. sylvestris"
"91",34083,25,117.933539061822,353.423076527009,"P. nigra"
"92",34083,26,275.151657438244,207.723692560588,"P. pinaster"
"93",34083,43,893.566871031675,777.574368669275,"Q. pyrenaica"
"96",34091,25,867.873706633383,839.139194726597,"P. nigra"
"98",34091,43,858.363103608555,802.7836616161,"Q. pyrenaica"
"100",34093,25,11.2367195148334,37.2830462251504,"P. nigra"
"101",34093,26,98.0315497623504,82.9982339855931,"P. pinaster"
"102",34093,43,194.758227872133,187.710365082611,"Q. pyrenaica"
"103",34094,21,16.87973087527,10.9654743721251,"P. sylvestris"
"104",34094,25,629.746785645534,685.700189848458,"P. nigra"
"106",34094,43,146.364494736093,50.0369430246732,"Q. pyrenaica"
"107",34094,44,17.626225210084,20.5997036712519,"Q. faginea"
"108",34100,21,818.299330854009,1009.20260313482,"P. sylvestris"
"110",34100,43,351.505603208321,431.263785155866,"Q. pyrenaica"
"111",34107,21,111.816690313712,114.541439832522,"P. sylvestris"
"112",34107,25,26.9564241685997,33.9321325776108,"P. nigra"
"113",34107,26,120.250170012295,124.756772625762,"P. pinaster"
"114",34107,43,380.391794871701,392.665817035056,"Q. pyrenaica"
"118",34110,43,158.345917983981,149.235332216725,"Q. pyrenaica"
"121",34113,26,11.7792524616149,16.6633106450514,"P. pinaster"
"122",34113,43,118.797290276561,118.680730036227,"Q. pyrenaica"
"123",34114,21,563.147915080126,536.736065118841,"P. sylvestris"
"124",34114,25,682.74106265133,935.715935210691,"P. nigra"
"125",34114,26,74.3588374802559,54.7056752943703,"P. pinaster"
"126",34114,42,29.2985067078081,127.396601881192,"Q. petraea"
"127",34114,43,973.158691550155,1011.7672783793,"Q. pyrenaica"
