"ID","IDmuni","NAMEUNIT","CoorX","CoorY","Estadillo"
"1",34004,"Aguilar de Campoo",398912,4749759,"34-168"
"2",34004,"Aguilar de Campoo",398898,4746779,"34-181"
"3",34004,"Aguilar de Campoo",395892,4739813,"34-317"
"4",34004,"Aguilar de Campoo",392897,4737784,"34-323"
"5",34004,"Aguilar de Campoo",393919,4737785,"34-324"
"6",34004,"Aguilar de Campoo",391892,4735793,"34-328"
"7",34004,"Aguilar de Campoo",393907,4735792,"34-329"
"8",34004,"Aguilar de Campoo",385903,4733807,"34-338"
"9",34004,"Aguilar de Campoo",399933,4732794,"34-345"
"10",34004,"Aguilar de Campoo",395886,4729801,"34-352"
"11",34004,"Aguilar de Campoo",397911,4729768,"34-354"
"12",34005,"Alar del Rey",391912,4726792,"34-365"
"13",34020,"Ayuela",355888,4727755,"34-283"
"14",34020,"Ayuela",355872,4725777,"34-301"
"15",34020,"Ayuela",360862,4720787,"34-452"
"16",34027,"Barruelo de Santullán",396931,4750791,"34-162"
"17",34037,"Buenavista de Valdavia",361863,4726789,"34-297"
"18",34037,"Buenavista de Valdavia",362873,4726785,"34-298"
"19",34037,"Buenavista de Valdavia",363877,4725797,"34-308"
"20",34037,"Buenavista de Valdavia",371910,4725776,"34-312"
"21",34037,"Buenavista de Valdavia",371876,4724791,"34-424"
"22",34037,"Buenavista de Valdavia",370880,4723808,"34-431"
"23",34037,"Buenavista de Valdavia",364896,4722817,"34-439"
"24",34037,"Buenavista de Valdavia",366901,4720793,"34-453"
"25",34037,"Buenavista de Valdavia",370877,4720814,"34-454"
"26",34037,"Buenavista de Valdavia",371894,4719803,"34-461"
"27",34037,"Buenavista de Valdavia",370892,4716793,"34-478"
"28",34037,"Buenavista de Valdavia",371880,4716791,"34-479"
"29",34041,"Calahorra de Boedo",383915,4712820,"34-549"
"30",34049,"Castrejón de la Peña",369882,4733786,"34-255"
"31",34049,"Castrejón de la Peña",369881,4732783,"34-260"
"32",34056,"Cervera de Pisuerga",368892,4754814,"34-47"
"33",34056,"Cervera de Pisuerga",369907,4753795,"34-49"
"34",34056,"Cervera de Pisuerga",365937,4749769,"34-66"
"35",34056,"Cervera de Pisuerga",372951,4747849,"34-90"
"36",34056,"Cervera de Pisuerga",381873,4757828,"34-123"
