"ID","Estadillo","Especie","PosEspIFN2","OcupaIFN2","EstadoIFN2","PosEspIFN3","OcupaIFN3","EstadoIFN3","EdadIFN3","OrgMasaIFN3","PosEspIFN4","OcupaIFN4","EstadoIFN4","EdadIFN4","OrgMasaIFN4","IFN2Num_arb","IFN3Num_arb","IFN4Num_arb","CatRegIFN2","CatRegIFN3","CatRegIFN4"
"1",109,"43",2,"9","3",1,80,3,0,1,1,90,3,0,1,22,29,33,2,2,3
"2",109,"43",2,"9","3",1,80,3,0,1,1,90,3,0,1,22,29,33,2,2,1
"3",109,"43",2,"9","3",1,80,3,0,1,1,90,3,0,1,22,29,33,2,3,3
"4",109,"43",2,"9","3",1,80,3,0,1,1,90,3,0,1,22,29,33,2,4,1
"5",109,"43",2,"9","3",1,80,3,0,1,1,90,3,0,1,22,29,33,2,2,2
"6",109,"43",2,"9","3",1,80,3,0,1,1,90,3,0,1,22,29,33,2,3,2
"7",109,"43",2,"9","3",1,80,3,0,1,1,90,3,0,1,22,29,33,2,4,2
"8",109,"43",2,"9","3",1,80,3,0,1,1,90,3,0,1,22,29,33,2,4,3
"9",109,"43",2,"9","3",1,80,3,0,1,1,90,3,0,1,22,29,33,2,1,1
"10",109,"43",2,"9","3",1,80,3,0,1,1,90,3,0,1,22,29,33,2,1,3
"11",109,"43",2,"9","3",1,80,3,0,1,1,90,3,0,1,22,29,33,2,3,1
"12",109,"43",2,"9","3",1,80,3,0,1,1,90,3,0,1,22,29,33,2,1,2
"13",111,"21",1,"0","3",1,100,4,40,2,1,100,4,0,2,62,58,39,NA,1,1
"14",111,"21",2,"0","4",1,100,4,40,2,1,100,4,0,2,62,58,39,NA,1,1
"15",113,"43",2,"0","3",1,100,3,0,1,1,100,3,0,1,6,16,22,3,1,2
"16",113,"43",2,"0","3",1,100,3,0,1,1,100,3,0,1,6,16,22,3,3,4
"17",113,"43",2,"0","3",1,100,3,0,1,1,100,3,0,1,6,16,22,3,4,3
"18",113,"43",2,"0","3",1,100,3,0,1,1,100,3,0,1,6,16,22,3,1,1
"19",113,"43",2,"0","3",1,100,3,0,1,1,100,3,0,1,6,16,22,3,2,2
"20",113,"43",2,"0","3",1,100,3,0,1,1,100,3,0,1,6,16,22,3,3,1
"21",113,"43",2,"0","3",1,100,3,0,1,1,100,3,0,1,6,16,22,3,2,3
"22",113,"43",2,"0","3",1,100,3,0,1,1,100,3,0,1,6,16,22,3,4,4
"23",113,"43",2,"0","3",1,100,3,0,1,1,100,3,0,1,6,16,22,3,1,3
"24",113,"43",2,"0","3",1,100,3,0,1,1,100,3,0,1,6,16,22,3,2,1
"25",113,"43",2,"0","3",1,100,3,0,1,1,100,3,0,1,6,16,22,3,4,2
"26",113,"43",2,"0","3",1,100,3,0,1,1,100,3,0,1,6,16,22,3,3,3
"27",113,"43",2,"0","3",1,100,3,0,1,1,100,3,0,1,6,16,22,3,1,4
"28",113,"43",2,"0","3",1,100,3,0,1,1,100,3,0,1,6,16,22,3,2,4
"29",113,"43",2,"0","3",1,100,3,0,1,1,100,3,0,1,6,16,22,3,4,1
"30",113,"43",2,"0","3",1,100,3,0,1,1,100,3,0,1,6,16,22,3,3,2
"31",123,"42",2,"6","3",1,60,4,0,1,1,70,4,0,1,41,41,49,3,2,1
"32",123,"42",2,"6","3",1,60,4,0,1,1,70,4,0,1,41,41,49,3,1,2
"33",123,"42",2,"6","3",1,60,4,0,1,1,70,4,0,1,41,41,49,3,1,1
"34",123,"42",2,"6","3",1,60,4,0,1,1,70,4,0,1,41,41,49,3,2,2
"35",123,"43",NA,NA,NA,2,20,3,0,1,NA,NA,NA,NA,NA,2,NA,NA,3,NA,NA
"36",123,"71",1,"0","0",NA,NA,NA,NA,NA,2,10,3,0,1,NA,2,3,1,3,2
"37",123,"71",1,"0","0",NA,NA,NA,NA,NA,2,10,3,0,1,NA,2,3,1,3,1
"38",125,"43",2,"0","3",1,90,3,0,1,1,100,3,0,1,9,22,25,3,4,NA
"39",125,"43",2,"0","3",1,90,3,0,1,1,100,3,0,1,9,22,25,3,1,NA
"40",125,"43",1,"7","0",1,90,3,0,1,1,100,3,0,1,9,22,25,3,4,NA
"41",125,"43",1,"7","0",1,90,3,0,1,1,100,3,0,1,9,22,25,3,1,NA
"42",131,"15",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,3,NA,NA
"43",131,"215",NA,NA,NA,2,20,2,0,1,2,30,2,0,1,NA,4,5,NA,3,4
"44",131,"215",NA,NA,NA,2,20,2,0,1,2,30,2,0,1,NA,4,5,NA,3,2
"45",131,"215",NA,NA,NA,2,20,2,0,1,2,30,2,0,1,NA,4,5,NA,2,2
"46",131,"215",NA,NA,NA,2,20,2,0,1,2,30,2,0,1,NA,4,5,NA,2,1
"47",131,"215",NA,NA,NA,2,20,2,0,1,2,30,2,0,1,NA,4,5,NA,4,1
"48",131,"215",NA,NA,NA,2,20,2,0,1,2,30,2,0,1,NA,4,5,NA,1,2
"49",131,"215",NA,NA,NA,2,20,2,0,1,2,30,2,0,1,NA,4,5,NA,2,4
"50",131,"215",NA,NA,NA,2,20,2,0,1,2,30,2,0,1,NA,4,5,NA,4,2
"51",131,"215",NA,NA,NA,2,20,2,0,1,2,30,2,0,1,NA,4,5,NA,3,3
"52",131,"215",NA,NA,NA,2,20,2,0,1,2,30,2,0,1,NA,4,5,NA,4,3
"53",131,"215",NA,NA,NA,2,20,2,0,1,2,30,2,0,1,NA,4,5,NA,1,4
"54",131,"215",NA,NA,NA,2,20,2,0,1,2,30,2,0,1,NA,4,5,NA,4,4
"55",131,"215",NA,NA,NA,2,20,2,0,1,2,30,2,0,1,NA,4,5,NA,1,3
"56",131,"215",NA,NA,NA,2,20,2,0,1,2,30,2,0,1,NA,4,5,NA,2,3
"57",131,"215",NA,NA,NA,2,20,2,0,1,2,30,2,0,1,NA,4,5,NA,1,1
"58",131,"215",NA,NA,NA,2,20,2,0,1,2,30,2,0,1,NA,4,5,NA,3,1
"59",131,"278",NA,NA,NA,3,20,3,0,1,3,10,3,0,1,NA,2,3,NA,1,3
"60",131,"278",NA,NA,NA,3,20,3,0,1,3,10,3,0,1,NA,2,3,NA,3,3
