"ID","Estadillo","Especie","Fcc_IFN2","Hm_IFN2","Fcc_IFN3","Hm_IFN3","Fcc_IFN4","Hm_IFN4"
"1",47,102,80,15,NA,NA,NA,NA
"2",47,103,10,15,NA,NA,NA,NA
"3",47,106,NA,NA,15,15,NA,NA
"4",47,137,NA,NA,15,2,24,2
"5",47,2102,NA,NA,75,15,30,11
"6",47,4104,NA,NA,5,12,NA,NA
"7",49,102,30,15,NA,NA,NA,NA
"8",49,103,10,15,NA,NA,NA,NA
"9",49,121,NA,NA,5,3,NA,NA
"10",49,1102,NA,NA,20,10,4,3
"11",49,4104,NA,NA,10,15,2,2
"12",54,102,60,14,NA,NA,NA,NA
"13",54,103,15,18,NA,NA,NA,NA
"14",54,137,NA,NA,20,4,42,3
"15",54,1102,NA,NA,75,12,45,15
"16",54,2102,NA,NA,10,12,12,15
"17",54,4104,NA,NA,20,15,2,20
"18",66,103,10,10,NA,NA,NA,NA
"19",66,119,NA,NA,5,15,5,10
"20",66,122,NA,NA,5,15,NA,NA
"21",66,179,NA,NA,NA,NA,2,1
"22",66,2950,NA,NA,NA,NA,4,5
"23",66,4104,NA,NA,10,10,10,10
"24",69,102,65,15,NA,NA,NA,NA
"25",69,104,15,4,NA,NA,NA,NA
"26",69,117,10,5,5,4,1,3
"27",69,136,NA,NA,25,5,2,3
"28",69,2102,NA,NA,70,12,80,13
"29",72,102,60,15,NA,NA,NA,NA
"30",72,103,25,20,NA,NA,NA,NA
"31",72,137,NA,NA,20,3,60,4
"32",72,1102,NA,NA,50,15,30,13
"33",72,4104,NA,NA,10,20,5,15
"34",90,102,70,15,NA,NA,NA,NA
"35",90,119,NA,NA,NA,NA,1,3
"36",90,137,NA,NA,20,2,15,2
"37",90,1102,NA,NA,15,4,7,4
"38",90,1555,NA,NA,NA,NA,1,5
"39",94,102,70,10,NA,NA,NA,NA
"40",94,103,10,8,NA,NA,NA,NA
"41",94,137,NA,NA,15,3,21,1
"42",94,2102,NA,NA,60,15,12,10
"43",94,4104,NA,NA,5,15,NA,NA
"44",109,102,10,4,10,3,NA,NA
"45",109,103,10,6,NA,NA,NA,NA
"46",109,107,15,1,25,2,25,2
"47",109,119,15,15,15,15,12,17
"48",109,200,NA,NA,NA,NA,8,10
"49",109,1139,NA,NA,NA,NA,13,2
"50",109,2110,NA,NA,NA,NA,5,3
"51",109,4104,NA,NA,10,15,NA,NA
"52",111,102,10,14,NA,NA,NA,NA
"53",111,106,10,2,NA,NA,NA,NA
"54",111,117,5,2,NA,NA,NA,NA
"55",111,119,NA,NA,NA,NA,1,1
"56",111,2102,NA,NA,25,3,39,2
"57",113,102,10,7,NA,NA,NA,NA
"58",113,103,50,7,NA,NA,NA,NA
"59",113,106,NA,NA,3,6,NA,NA
"60",113,119,10,20,10,8,5,8
"61",113,121,NA,NA,NA,NA,5,20
"62",113,1102,NA,NA,15,12,20,16
"63",113,3121,NA,NA,5,10,NA,NA
"64",113,4103,NA,NA,NA,NA,5,5
"65",113,4104,NA,NA,40,15,40,12
"66",123,103,20,15,NA,NA,NA,NA
"67",123,119,10,10,5,2,5,3
"68",123,2110,NA,NA,3,3,NA,NA
"69",123,3155,NA,NA,6,1,NA,NA
"70",123,4103,NA,NA,3,3,NA,NA
"71",123,4104,NA,NA,NA,NA,6,3
"72",125,102,70,20,NA,NA,NA,NA
"73",125,103,30,20,NA,NA,NA,NA
"74",125,119,NA,NA,1,20,NA,NA
"75",125,137,NA,NA,75,3,92,3
"76",125,1102,NA,NA,90,20,70,20
"77",125,4103,NA,NA,5,23,NA,NA
"78",131,103,20,15,NA,NA,NA,NA
"79",131,115,10,15,5,18,17,25
"80",131,119,20,15,5,15,8,30
"81",131,121,NA,NA,3,3,NA,NA
"82",131,4103,NA,NA,10,5,5,20
"83",133,4103,NA,NA,1,2,1,2
"84",151,103,10,15,NA,NA,NA,NA
"85",151,115,10,15,3,1,NA,NA
"86",151,119,20,20,7,19,12,25
"87",151,121,NA,NA,1,1,NA,NA
"88",151,1167,NA,NA,NA,NA,3,5
"89",151,1555,NA,NA,NA,NA,4,25
"90",151,3115,NA,NA,NA,NA,4,4
"91",151,4104,NA,NA,2,5,NA,NA
"92",154,102,NA,NA,2,1,2,1
"93",154,106,20,2,10,3,12,3
"94",154,4103,NA,NA,1,3,5,9
"95",154,4104,NA,NA,3,6,NA,NA
"96",160,102,5,4,NA,NA,NA,NA
"97",160,103,10,10,NA,NA,NA,NA
"98",160,119,5,10,5,6,2,3
"99",160,121,NA,NA,3,3,2,3
"100",160,137,NA,NA,2,2,2,5
"101",160,144,NA,NA,2,2,NA,NA
"102",160,2110,NA,NA,NA,NA,1,3
"103",160,4103,NA,NA,10,7,NA,NA
"104",160,4104,NA,NA,NA,NA,3,2
"105",162,102,5,3,4,2,1,2
"106",162,103,5,8,NA,NA,NA,NA
"107",162,121,NA,NA,2,1,9,1
"108",162,137,NA,NA,2,2,NA,NA
"109",162,1555,NA,NA,NA,NA,4,3
"110",162,4103,NA,NA,3,18,NA,NA
"111",168,102,65,3,NA,NA,65,2
"112",168,103,1,9,NA,NA,NA,NA
"113",168,119,25,4,5,3,2,3
"114",168,121,NA,NA,5,2,1,4
"115",168,144,NA,NA,4,4,2,3
"116",168,1102,NA,NA,70,3,NA,NA
"117",168,4103,NA,NA,4,4,NA,NA
"118",172,102,20,3,3,2,NA,NA
"119",172,1167,NA,NA,NA,NA,2,3
"120",172,1189,NA,NA,NA,NA,2,7
"121",172,2950,NA,NA,NA,NA,1,3
"122",172,3102,NA,NA,NA,NA,4,2
"123",172,4103,NA,NA,3,5,NA,NA
"124",173,115,NA,NA,3,17,NA,NA
"125",173,119,NA,NA,5,20,2,6
"126",173,1167,NA,NA,NA,NA,5,15
"127",173,3115,NA,NA,NA,NA,2,5
"128",173,4103,NA,NA,3,8,NA,NA
"129",173,4104,NA,NA,3,12,NA,NA
"130",174,103,20,15,NA,NA,NA,NA
"131",174,113,NA,NA,NA,NA,3,10
"132",174,115,NA,NA,5,14,NA,NA
"133",174,119,20,20,8,22,8,22
"134",174,121,NA,NA,3,3,1,10
"135",174,144,NA,NA,5,20,1,2
"136",174,2950,NA,NA,NA,NA,25,10
"137",174,4103,NA,NA,15,4,15,5
"138",175,103,20,15,NA,NA,NA,NA
"139",175,112,5,5,7,15,7,15
"140",175,115,5,15,3,22,1,22
"141",175,119,30,15,30,20,25,20
"142",175,121,NA,NA,5,10,2,10
"143",175,129,NA,NA,20,1,20,1
"144",175,131,NA,NA,3,8,1,8
"145",175,144,NA,NA,5,18,5,2
"146",175,182,NA,NA,NA,NA,2,2
"147",175,4103,NA,NA,20,20,25,15
"148",175,4104,NA,NA,10,5,NA,NA
"149",181,102,30,2,25,2,50,2
"150",181,103,40,8,NA,NA,NA,NA
"151",181,119,15,3,5,7,2,6
"152",181,121,NA,NA,7,2,1,4
"153",181,122,10,4,NA,NA,NA,NA
"154",181,144,NA,NA,7,12,5,3
"155",181,2110,NA,NA,5,2,5,2
"156",181,4103,NA,NA,10,12,10,12
"157",184,102,10,5,7,3,15,2
"158",184,106,70,3,3,2,8,4
"159",184,120,NA,NA,3,2,3,2
"160",184,137,NA,NA,5,2,8,2
"161",184,144,NA,NA,NA,NA,1,2
"162",184,1102,NA,NA,NA,NA,9,25
"163",184,1167,NA,NA,NA,NA,3,12
"164",184,2102,NA,NA,7,20,NA,NA
"165",190,102,20,2,NA,NA,5,2
"166",190,104,60,3,NA,NA,NA,NA
"167",190,119,NA,NA,2,18,2,15
"168",190,182,NA,NA,NA,NA,2,2
"169",190,1103,NA,NA,NA,NA,85,6
"170",190,2950,NA,NA,NA,NA,5,12
