"ID","Estadillo","CoorX","CoorY","DANOS1N","DANOS2N","DANOS3N"
"1",47,368892,4754814,"","","No se advierten daños"
"2",49,369907,4753795,"","","No se advierten daños"
"3",54,357918,4751766,"","","Se advierten daños en las hojas de pequeña importancia causados por insectos"
"4",66,365937,4749769,"","","No se advierten daños"
"5",69,349879,4748713,"","Se advierten daños en la corteza de importancia media causados por fauna silvestre","Se advierten daños graves causados por fuego"
"6",72,357892,4748794,"","Se advierten daños en las hojas de pequeña importancia causados por insectos","Se advierten daños de importancia media causados por viento"
"7",90,372951,4747849,"","","No se advierten daños"
"8",94,358890,4746728,"","","No se advierten daños"
"9",109,363930,4745778,"","","No se advierten daños"
"10",111,348850,4744750,"","","Se advierten daños en las hojas de pequeña importancia causados por insectos"
"11",113,363902,4743810,"","","Se advierten daños de pequeña importancia causados por fuego"
"12",123,381873,4757828,"","","No se advierten daños"
"13",125,378901,4756814,"","","No se advierten daños"
"14",131,385851,4755778,"","","No se advierten daños"
"15",133,377862,4754828,"","","No se advierten daños"
"16",151,376861,4751808,"","","No se advierten daños"
"17",154,380891,4751806,"","","No se advierten daños"
"18",160,377887,4750782,"","","No se advierten daños"
"19",162,396931,4750791,"","","No se advierten daños"
"20",168,398912,4749759,"","","No se advierten daños"
"21",172,375895,4747785,"","","Se advierten daños en las hojas de importancia media por causas desconocida"
"22",173,376880,4747795,"","Se advierten daños en las hojas de pequeña importancia por causas desconocidas","Se advierten daños graves en la corteza causados por fuego"
"23",174,379899,4747817,"","","Se advierten daños graves en las hojas por causas desconocidas"
"24",175,381914,4747807,"","","No se advierten daños"
"25",181,398898,4746779,"","Se advierten daños en las guía terminal de importancia media causados por nieve","Se advierten daños en el tronco de pequeña importancia causados por fuego"
"26",184,377874,4745777,"","","No se advierten daños"
"27",190,381869,4743777,"","","No se advierten daños"
"28",193,345924,4743793,"","Se advierten daños de pequeña importancia causados por fuego","Se advierten daños en las hojas de pequeña importancia causados por insectos"
"29",194,346920,4743814,"","Se advierten daños en las hojas de pequeña importancia causados por insectos","Se advierten daños en las ramas de pequeña importancia causados por viento"
"30",200,345856,4735793,"","","No se advierten daños"
"31",203,346995,4734838,"","","No se advierten daños"
"32",205,345868,4733795,"","","No se advierten daños"
"33",211,346963,4729817,"","","No se advierten daños"
"34",213,345887,4728809,"","","Se advierten daños en las hojas de pequeña importancia causados por insectos"
"35",215,347873,4728789,"","","Se advierten daños en las hojas de pequeña importancia causados por insectos"
"36",217,346936,4727784,"","","Se advierten daños en las hojas de pequeña importancia causados por insectos"
"37",219,344871,4726777,"","","Se advierten daños en las hojas de pequeña importancia causados por insectos"
"38",227,373885,4739823,"","","Se advierten daños en la corteza de importancia media causados por fuego"
"39",229,361861,4737796,"","","Se advierten daños de importancia media causados por fuego"
"40",234,357904,4735777,"","","No se advierten daños"
"41",236,359901,4735801,"","","Se advierten daños de importancia media causados por fuego"
"42",241,352865,4734813,"","","Se advierten daños en las hojas de pequeña importancia causados por insectos"
"43",242,353876,4734814,"","Se advierten daños en las ramas de pequeña importancia causados por viento","Se advierten daños en las hojas de pequeña importancia causados por insectos"
"44",250,352892,4733753,"","","Se advierten daños en las hojas de pequeña importancia causados por insectos"
"45",252,359878,4733793,"","","Se advierten daños de importancia media causados por fuego"
"46",255,369882,4733786,"","","Se advierten daños en las hojas de pequeña importancia causados por insectos"
"47",259,353892,4732804,"","Se advierten daños en las ramas de pequeña importancia causados por viento","Se advierten daños en las hojas de pequeña importancia causados por insectos"
"48",260,369881,4732783,"","","Se advierten daños graves causados por fuego"
"49",267,354892,4730794,"","","Se advierten daños en las hojas de pequeña importancia causados por insectos"
"50",277,370905,4729765,"","","Se advierten daños en las hojas de pequeña importancia causados por insectos"
"51",280,356902,4728782,"","","Se advierten daños en las hojas de pequeña importancia causados por insectos"
"52",281,357857,4728757,"","","Se advierten daños en las hojas de pequeña importancia causados por insectos"
"53",283,355888,4727755,"","","Se advierten daños en las hojas de pequeña importancia causados por insectos"
"54",290,367892,4727794,"","","Se advierten daños en las hojas de pequeña importancia causados por insectos"
"55",293,356886,4726774,"","","Se advierten daños en las hojas de pequeña importancia causados por insectos"
"56",295,358886,4726778,"","","Se advierten daños en las hojas de pequeña importancia causados por insectos"
