"ID","Estadillo","CoorX","CoorY","Agente","AgenteN","Pies_con_este_dano","Total_pies","Porcentaje_dano"
"1",47,368892,4754814,100,"No se advierten daños",32,33,96.97
"2",47,368892,4754814,300,"Daños bióticos",1,33,3.03
"3",49,369907,4753795,100,"No se advierten daños",20,26,76.92
"4",49,369907,4753795,316,"Dominancia",5,26,19.23
"5",49,369907,4753795,421,"Fuego",1,26,3.85
"6",54,357918,4751766,100,"No se advierten daños",13,13,100
"7",66,365937,4749769,100,"No se advierten daños",7,8,87.5
"8",66,365937,4749769,300,"Daños bióticos",1,8,12.5
"9",69,349879,4748713,100,"No se advierten daños",8,10,80
"10",69,349879,4748713,314,"Fauna silvestre",2,10,20
"11",72,357892,4748794,100,"No se advierten daños",31,32,96.88
"12",72,357892,4748794,310,"Hongos",1,32,3.12
"13",90,372951,4747849,100,"No se advierten daños",21,21,100
"14",94,358890,4746728,100,"No se advierten daños",45,46,97.83
"15",94,358890,4746728,316,"Dominancia",1,46,2.17
"16",109,363930,4745778,100,"No se advierten daños",20,29,68.97
"17",109,363930,4745778,310,"Hongos",5,29,17.24
"18",109,363930,4745778,316,"Dominancia",4,29,13.79
"19",111,348850,4744750,100,"No se advierten daños",58,58,100
"20",113,363902,4743810,100,"No se advierten daños",13,16,81.25
"21",113,363902,4743810,310,"Hongos",1,16,6.25
"22",113,363902,4743810,421,"Fuego",2,16,12.5
"23",123,381873,4757828,100,"No se advierten daños",40,43,93.02
"24",123,381873,4757828,200,"Causas desconocidas",1,43,2.33
"25",123,381873,4757828,316,"Dominancia",1,43,2.33
"26",123,381873,4757828,400,"Daños abióticos",1,43,2.33
"27",125,378901,4756814,100,"No se advierten daños",21,22,95.45
"28",125,378901,4756814,316,"Dominancia",1,22,4.55
"29",131,385851,4755778,100,"No se advierten daños",11,19,57.89
"30",131,385851,4755778,312,"Muerdago y afines",2,19,10.53
"31",131,385851,4755778,316,"Dominancia",5,19,26.32
"32",131,385851,4755778,400,"Daños abióticos",1,19,5.26
"33",133,377862,4754828,100,"No se advierten daños",44,52,84.62
"34",133,377862,4754828,316,"Dominancia",7,52,13.46
"35",133,377862,4754828,400,"Daños abióticos",1,52,1.92
"36",151,376861,4751808,100,"No se advierten daños",48,53,90.57
"37",151,376861,4751808,316,"Dominancia",5,53,9.43
"38",154,380891,4751806,100,"No se advierten daños",7,10,70
"39",154,380891,4751806,316,"Dominancia",3,10,30
"40",160,377887,4750782,100,"No se advierten daños",26,29,89.66
"41",160,377887,4750782,316,"Dominancia",3,29,10.34
"42",162,396931,4750791,100,"No se advierten daños",21,34,61.76
"43",162,396931,4750791,316,"Dominancia",12,34,35.29
"44",162,396931,4750791,400,"Daños abióticos",1,34,2.94
"45",168,398912,4749759,100,"No se advierten daños",36,39,92.31
"46",168,398912,4749759,316,"Dominancia",2,39,5.13
"47",168,398912,4749759,400,"Daños abióticos",1,39,2.56
"48",172,375895,4747785,100,"No se advierten daños",34,43,79.07
"49",172,375895,4747785,316,"Dominancia",9,43,20.93
"50",173,376880,4747795,100,"No se advierten daños",5,5,100
"51",174,379899,4747817,100,"No se advierten daños",5,9,55.56
"52",174,379899,4747817,400,"Daños abióticos",4,9,44.44
"53",175,381914,4747807,400,"Daños abióticos",1,1,100
"54",181,398898,4746779,100,"No se advierten daños",13,18,72.22
"55",181,398898,4746779,316,"Dominancia",1,18,5.56
"56",181,398898,4746779,400,"Daños abióticos",4,18,22.22
"57",184,377874,4745777,100,"No se advierten daños",12,12,100
"58",190,381869,4743777,100,"No se advierten daños",9,28,32.14
"59",190,381869,4743777,316,"Dominancia",4,28,14.29
"60",190,381869,4743777,421,"Fuego",15,28,53.57
"61",193,345924,4743793,100,"No se advierten daños",36,46,78.26
"62",193,345924,4743793,300,"Daños bióticos",3,46,6.52
"63",193,345924,4743793,310,"Hongos",1,46,2.17
"64",193,345924,4743793,316,"Dominancia",6,46,13.04
"65",194,346920,4743814,100,"No se advierten daños",23,29,79.31
"66",194,346920,4743814,300,"Daños bióticos",1,29,3.45
"67",194,346920,4743814,310,"Hongos",5,29,17.24
"68",200,345856,4735793,100,"No se advierten daños",45,46,97.83
"69",200,345856,4735793,200,"Causas desconocidas",1,46,2.17
"70",203,346995,4734838,100,"No se advierten daños",44,46,95.65
"71",203,346995,4734838,316,"Dominancia",2,46,4.35
"72",205,345868,4733795,100,"No se advierten daños",45,45,100
"73",211,346963,4729817,100,"No se advierten daños",24,24,100
"74",213,345887,4728809,100,"No se advierten daños",27,30,90
"75",213,345887,4728809,200,"Causas desconocidas",1,30,3.33
"76",213,345887,4728809,316,"Dominancia",2,30,6.67
"77",215,347873,4728789,100,"No se advierten daños",31,32,96.88
"78",215,347873,4728789,411,"Viento",1,32,3.12
"79",217,346936,4727784,100,"No se advierten daños",21,21,100
"80",219,344871,4726777,100,"No se advierten daños",28,28,100
"81",227,373885,4739823,100,"No se advierten daños",1,1,100
"82",229,361861,4737796,100,"No se advierten daños",3,6,50
"83",229,361861,4737796,200,"Causas desconocidas",3,6,50
"84",234,357904,4735777,100,"No se advierten daños",7,13,53.85
"85",234,357904,4735777,200,"Causas desconocidas",6,13,46.15
"86",236,359901,4735801,100,"No se advierten daños",13,13,100
"87",241,352865,4734813,100,"No se advierten daños",30,32,93.75
"88",241,352865,4734813,316,"Dominancia",2,32,6.25
"89",242,353876,4734814,100,"No se advierten daños",27,28,96.43
"90",242,353876,4734814,321,"Saca de madera",1,28,3.57
"91",250,352892,4733753,100,"No se advierten daños",24,24,100
"92",252,359878,4733793,100,"No se advierten daños",15,18,83.33
"93",252,359878,4733793,200,"Causas desconocidas",3,18,16.67
"94",255,369882,4733786,100,"No se advierten daños",35,38,92.11
"95",255,369882,4733786,316,"Dominancia",3,38,7.89
"96",259,353892,4732804,100,"No se advierten daños",49,51,96.08
"97",259,353892,4732804,316,"Dominancia",1,51,1.96
"98",259,353892,4732804,411,"Viento",1,51,1.96
"99",260,369881,4732783,100,"No se advierten daños",27,34,79.41
"100",260,369881,4732783,316,"Dominancia",7,34,20.59
"101",267,354892,4730794,100,"No se advierten daños",24,24,100
"102",277,370905,4729765,100,"No se advierten daños",34,43,79.07
"103",277,370905,4729765,316,"Dominancia",9,43,20.93
"104",280,356902,4728782,100,"No se advierten daños",27,27,100
"105",281,357857,4728757,100,"No se advierten daños",30,30,100
"106",283,355888,4727755,100,"No se advierten daños",28,28,100
"107",290,367892,4727794,100,"No se advierten daños",9,10,90
"108",290,367892,4727794,316,"Dominancia",1,10,10
"109",293,356886,4726774,100,"No se advierten daños",26,28,92.86
"110",293,356886,4726774,200,"Causas desconocidas",2,28,7.14
"111",295,358886,4726778,100,"No se advierten daños",37,37,100
"112",297,361863,4726789,100,"No se advierten daños",33,34,97.06
"113",297,361863,4726789,316,"Dominancia",1,34,2.94
"114",298,362873,4726785,100,"No se advierten daños",27,27,100
"115",301,355872,4725777,100,"No se advierten daños",43,44,97.73
"116",301,355872,4725777,200,"Causas desconocidas",1,44,2.27
"117",303,357880,4725784,100,"No se advierten daños",22,24,91.67
"118",303,357880,4725784,322,"Causas antrópicas",2,24,8.33
"119",308,363877,4725797,100,"No se advierten daños",22,28,78.57
"120",308,363877,4725797,200,"Causas desconocidas",3,28,10.71
"121",308,363877,4725797,316,"Dominancia",3,28,10.71
"122",309,365914,4725803,100,"No se advierten daños",6,8,75
"123",309,365914,4725803,316,"Dominancia",2,8,25
"124",310,369891,4725818,100,"No se advierten daños",15,17,88.24
"125",310,369891,4725818,316,"Dominancia",1,17,5.88
"126",310,369891,4725818,321,"Saca de madera",1,17,5.88
"127",312,371910,4725776,100,"No se advierten daños",18,24,75
"128",312,371910,4725776,316,"Dominancia",6,24,25
"129",314,379922,4741791,100,"No se advierten daños",1,2,50
"130",314,379922,4741791,200,"Causas desconocidas",1,2,50
"131",317,395892,4739813,100,"No se advierten daños",42,43,97.67
"132",317,395892,4739813,316,"Dominancia",1,43,2.33
"133",323,392897,4737784,100,"No se advierten daños",29,30,96.67
"134",323,392897,4737784,316,"Dominancia",1,30,3.33
"135",324,393919,4737785,100,"No se advierten daños",33,34,97.06
"136",324,393919,4737785,321,"Saca de madera",1,34,2.94
"137",328,391892,4735793,100,"No se advierten daños",19,31,61.29
"138",328,391892,4735793,316,"Dominancia",12,31,38.71
"139",329,393907,4735792,100,"No se advierten daños",2,3,66.67
"140",329,393907,4735792,400,"Daños abióticos",1,3,33.33
"141",331,377904,4734780,100,"No se advierten daños",25,28,89.29
"142",331,377904,4734780,316,"Dominancia",3,28,10.71
"143",338,385903,4733807,100,"No se advierten daños",7,11,63.64
"144",338,385903,4733807,316,"Dominancia",4,11,36.36
"145",345,399933,4732794,100,"No se advierten daños",33,33,100
"146",352,395886,4729801,100,"No se advierten daños",9,11,81.82
"147",352,395886,4729801,400,"Daños abióticos",2,11,18.18
"148",354,397911,4729768,100,"No se advierten daños",31,31,100
"149",363,389904,4726785,100,"No se advierten daños",32,37,86.49
"150",363,389904,4726785,316,"Dominancia",5,37,13.51
"151",365,391912,4726792,100,"No se advierten daños",18,21,85.71
"152",365,391912,4726792,316,"Dominancia",3,21,14.29
"153",368,376882,4725806,100,"No se advierten daños",28,29,96.55
"154",368,376882,4725806,321,"Saca de madera",1,29,3.45
"155",371,409896,4741812,100,"No se advierten daños",42,44,95.45
"156",371,409896,4741812,400,"Daños abióticos",2,44,4.55
"157",382,345937,4724840,100,"No se advierten daños",27,29,93.1
"158",382,345937,4724840,316,"Dominancia",1,29,3.45
"159",382,345937,4724840,411,"Viento",1,29,3.45
"160",384,345955,4723788,100,"No se advierten daños",18,18,100
"161",386,345918,4722804,100,"No se advierten daños",35,35,100
"162",398,347903,4719775,100,"No se advierten daños",49,49,100
"163",402,344928,4717802,100,"No se advierten daños",33,33,100
"164",404,344906,4716775,100,"No se advierten daños",40,44,90.91
"165",404,344906,4716775,200,"Causas desconocidas",1,44,2.27
"166",404,344906,4716775,316,"Dominancia",2,44,4.55
"167",404,344906,4716775,411,"Viento",1,44,2.27
"168",407,344905,4714759,100,"No se advierten daños",44,45,97.78
"169",407,344905,4714759,316,"Dominancia",1,45,2.22
"170",411,345899,4710808,100,"No se advierten daños",9,9,100
"171",412,346899,4710829,100,"No se advierten daños",20,20,100
"172",418,356864,4724825,100,"No se advierten daños",43,44,97.73
"173",418,356864,4724825,200,"Causas desconocidas",1,44,2.27
"174",424,371876,4724791,100,"No se advierten daños",11,12,91.67
"175",424,371876,4724791,316,"Dominancia",1,12,8.33
"176",431,370880,4723808,100,"No se advierten daños",23,25,92
"177",431,370880,4723808,300,"Daños bióticos",1,25,4
"178",431,370880,4723808,316,"Dominancia",1,25,4
"179",436,355869,4722843,100,"No se advierten daños",32,32,100
"180",439,364896,4722817,100,"No se advierten daños",45,62,72.58
"181",439,364896,4722817,316,"Dominancia",17,62,27.42
"182",452,360862,4720787,100,"No se advierten daños",25,25,100
"183",453,366901,4720793,100,"No se advierten daños",26,33,78.79
"184",453,366901,4720793,316,"Dominancia",7,33,21.21
"185",454,370877,4720814,100,"No se advierten daños",7,12,58.33
"186",454,370877,4720814,300,"Daños bióticos",5,12,41.67
"187",458,362936,4719770,200,"Causas desconocidas",9,9,100
"188",461,371894,4719803,100,"No se advierten daños",12,12,100
"189",465,353868,4718832,100,"No se advierten daños",24,26,92.31
"190",465,353868,4718832,200,"Causas desconocidas",1,26,3.85
"191",465,353868,4718832,316,"Dominancia",1,26,3.85
"192",472,354883,4717798,100,"No se advierten daños",23,26,88.46
"193",472,354883,4717798,316,"Dominancia",1,26,3.85
"194",472,354883,4717798,411,"Viento",2,26,7.69
"195",475,354882,4716797,100,"No se advierten daños",24,24,100
"196",478,370892,4716793,100,"No se advierten daños",15,20,75
"197",478,370892,4716793,316,"Dominancia",5,20,25
"198",479,371880,4716791,100,"No se advierten daños",21,22,95.45
"199",479,371880,4716791,316,"Dominancia",1,22,4.55
"200",486,371893,4714777,100,"No se advierten daños",33,34,97.06
"201",486,371893,4714777,316,"Dominancia",1,34,2.94
"202",490,361938,4713829,100,"No se advierten daños",11,16,68.75
"203",490,361938,4713829,200,"Causas desconocidas",5,16,31.25
"204",495,357928,4712810,100,"No se advierten daños",22,22,100
"205",499,365895,4711778,100,"No se advierten daños",33,33,100
"206",504,347892,4709783,100,"No se advierten daños",37,39,94.87
"207",504,347892,4709783,200,"Causas desconocidas",1,39,2.56
"208",504,347892,4709783,316,"Dominancia",1,39,2.56
"209",508,368879,4708799,100,"No se advierten daños",11,11,100
"210",514,368910,4707768,100,"No se advierten daños",35,35,100
"211",527,381904,4719769,100,"No se advierten daños",29,34,85.29
"212",527,381904,4719769,316,"Dominancia",3,34,8.82
"213",527,381904,4719769,321,"Saca de madera",2,34,5.88
"214",528,375897,4717807,100,"No se advierten daños",5,5,100
"215",530,375915,4716812,100,"No se advierten daños",37,41,90.24
"216",530,375915,4716812,316,"Dominancia",4,41,9.76
"217",532,376914,4715806,100,"No se advierten daños",10,11,90.91
"218",532,376914,4715806,316,"Dominancia",1,11,9.09
"219",534,375886,4714758,100,"No se advierten daños",38,48,79.17
"220",534,375886,4714758,316,"Dominancia",10,48,20.83
"221",536,381923,4714793,100,"No se advierten daños",22,25,88
"222",536,381923,4714793,316,"Dominancia",2,25,8
"223",536,381923,4714793,421,"Fuego",1,25,4
"224",537,382949,4714815,100,"No se advierten daños",37,39,94.87
"225",537,382949,4714815,316,"Dominancia",2,39,5.13
"226",539,375907,4713789,100,"No se advierten daños",26,30,86.67
"227",539,375907,4713789,316,"Dominancia",4,30,13.33
"228",542,380917,4713787,100,"No se advierten daños",21,24,87.5
"229",542,380917,4713787,316,"Dominancia",3,24,12.5
"230",549,383915,4712820,100,"No se advierten daños",35,40,87.5
"231",549,383915,4712820,200,"Causas desconocidas",5,40,12.5
"232",553,376886,4710778,100,"No se advierten daños",24,26,92.31
"233",553,376886,4710778,200,"Causas desconocidas",2,26,7.69
"234",555,376889,4709803,100,"No se advierten daños",3,3,100
"235",557,375873,4708781,100,"No se advierten daños",31,31,100
"236",576,345836,4697773,100,"No se advierten daños",35,35,100
"237",578,346837,4696847,100,"No se advierten daños",14,14,100
"238",581,347913,4706774,100,"No se advierten daños",38,38,100
