"ID","Estadillo","CoorX","CoorY","Agente","AgenteN","Pies_con_este_dano","Total_pies","Porcentaje_dano"
"1",47,368892,4754814,100,"No se advierten daños",48,51,94.12
"2",47,368892,4754814,316,"Dominancia",3,51,5.88
"3",49,369907,4753795,100,"No se advierten daños",22,31,70.97
"4",49,369907,4753795,200,"Causas desconocidas",3,31,9.68
"5",49,369907,4753795,316,"Dominancia",5,31,16.13
"6",49,369907,4753795,421,"Fuego",1,31,3.23
"7",54,357918,4751766,100,"No se advierten daños",22,26,84.62
"8",54,357918,4751766,200,"Causas desconocidas",2,26,7.69
"9",54,357918,4751766,316,"Dominancia",2,26,7.69
"10",66,365937,4749769,100,"No se advierten daños",7,9,77.78
"11",66,365937,4749769,200,"Causas desconocidas",1,9,11.11
"12",66,365937,4749769,312,"Muerdago y afines",1,9,11.11
"13",69,349879,4748713,100,"No se advierten daños",13,18,72.22
"14",69,349879,4748713,200,"Causas desconocidas",1,18,5.56
"15",69,349879,4748713,314,"Fauna silvestre",4,18,22.22
"16",72,357892,4748794,100,"No se advierten daños",39,41,95.12
"17",72,357892,4748794,200,"Causas desconocidas",2,41,4.88
"18",90,372951,4747849,100,"No se advierten daños",31,32,96.88
"19",90,372951,4747849,316,"Dominancia",1,32,3.12
"20",94,358890,4746728,100,"No se advierten daños",57,59,96.61
"21",94,358890,4746728,316,"Dominancia",1,59,1.69
"22",94,358890,4746728,400,"Daños abióticos",1,59,1.69
"23",109,363930,4745778,100,"No se advierten daños",23,33,69.7
"24",109,363930,4745778,200,"Causas desconocidas",1,33,3.03
"25",109,363930,4745778,300,"Daños bióticos",1,33,3.03
"26",109,363930,4745778,310,"Hongos",6,33,18.18
"27",109,363930,4745778,316,"Dominancia",2,33,6.06
"28",111,348850,4744750,100,"No se advierten daños",36,39,92.31
"29",111,348850,4744750,200,"Causas desconocidas",1,39,2.56
"30",111,348850,4744750,322,"Causas antrópicas",2,39,5.13
"31",113,363902,4743810,100,"No se advierten daños",18,22,81.82
"32",113,363902,4743810,310,"Hongos",1,22,4.55
"33",113,363902,4743810,316,"Dominancia",1,22,4.55
"34",113,363902,4743810,421,"Fuego",2,22,9.09
"35",123,381873,4757828,100,"No se advierten daños",43,52,82.69
"36",123,381873,4757828,200,"Causas desconocidas",3,52,5.77
"37",123,381873,4757828,316,"Dominancia",6,52,11.54
"38",125,378901,4756814,100,"No se advierten daños",23,25,92
"39",125,378901,4756814,316,"Dominancia",2,25,8
"40",131,385851,4755778,100,"No se advierten daños",13,28,46.43
"41",131,385851,4755778,200,"Causas desconocidas",11,28,39.29
"42",131,385851,4755778,312,"Muerdago y afines",2,28,7.14
"43",131,385851,4755778,316,"Dominancia",1,28,3.57
"44",131,385851,4755778,400,"Daños abióticos",1,28,3.57
"45",133,377862,4754828,100,"No se advierten daños",42,60,70
"46",133,377862,4754828,200,"Causas desconocidas",8,60,13.33
"47",133,377862,4754828,316,"Dominancia",9,60,15
"48",133,377862,4754828,400,"Daños abióticos",1,60,1.67
"49",151,376861,4751808,100,"No se advierten daños",48,61,78.69
"50",151,376861,4751808,200,"Causas desconocidas",5,61,8.2
"51",151,376861,4751808,316,"Dominancia",8,61,13.11
