"ID","Estadillo","PoligonoMFE","CoorX","CoorY","Altitud","ModComb","Orientacion","Pendiente","ExposicionN","RocosidN","TexturaN","RegBioN","MatOrgN","PhSueloN","TipoSuelo"
"1",47,3692841,368892,4754814,1572,5,0,6.25,"Umbría","Poco pedregoso","Textura franca","Atlántica","Moderadamente humífero","Moderadamente ácido (5>pH<6)","Suelo silíceo"
"2",49,3678037,369907,4753795,1350,9,280,12.5,"Umbría","Poco pedregoso","Textura arenosa","Atlántica","Moderadamente humífero","Moderadamente ácido (5>pH<6)","Suelo silíceo"
"3",54,3680433,357918,4751766,1405,7,46,10.25,"Umbría","Muy pedregoso","Textura franca","Atlántica","Moderadamente humífero","Moderadamente ácido (5>pH<6)","Suelo silíceo"
"4",66,3673677,365937,4749769,1307,2,365,11.25,"Solana","Pedregosos","Textura franca","Atlántica","Moderadamente humífero","Moderadamente ácido (5>pH<6)","Suelo calizo"
"5",69,3681178,349879,4748713,1402,7,361,7.5,"Umbría","Pedregosos","Textura franca","Atlántica","Moderadamente humífero","Moderadamente ácido (5>pH<6)","Suelo silíceo"
"6",72,3691286,357892,4748794,1499,7,180,10.5,"Umbría","Pedregosos","Textura franca","Atlántica","Moderadamente humífero","Moderadamente ácido (5>pH<6)","Suelo silíceo"
"7",90,3635698,372951,4747849,1126,9,395,5.75,"Umbría","Poco pedregoso","Textura franca","Atlántica","Muy humífero","Moderadamente ácido (5>pH<6)","Suelo silíceo"
"8",94,3627750,358890,4746728,1566,7,135,7,"Solana","Muy pedregoso","Textura franca","Atlántica","Moderadamente humífero","Moderadamente ácido (5>pH<6)","Suelo silíceo"
"9",109,3632378,363930,4745778,1400,5,288,8.75,"Solana","Pedregosos","Textura franca","Atlántica","Muy humífero","Moderadamente ácido (5>pH<6)","Suelo calizo"
"10",111,3621552,348850,4744750,1204,8,144,0.25,"Todos los vientos","Poco pedregoso","Textura arenosa","Atlántica","Moderadamente humífero","Fuertemente ácido (3>pH<4)","Suelo silíceo"
"11",113,3634415,363902,4743810,1233,7,265,7.5,"Umbría","Pedregosos","Textura franca","Mediterránea","Moderadamente humífero","Moderadamente ácido (5>pH<6)","Suelo silíceo"
"12",123,3678479,381873,4757828,1304,9,58,5.75,"Solana","Sin pedregosidad","Textura franca","Atlántica","Moderadamente humífero","Moderadamente ácido (5>pH<6)","Suelo silíceo"
"13",125,3679839,378901,4756814,1179,4,232,6.5,"Umbría","Sin pedregosidad","Textura franca","Atlántica","Muy humífero","Moderadamente ácido (5>pH<6)","Suelo silíceo"
"14",131,3682265,385851,4755778,1431,6,258,11,"Solana","Poco pedregoso","Textura franca","Atlántica","Moderadamente humífero","Moderadamente ácido (5>pH<6)","Suelo silíceo"
"15",133,3678780,377862,4754828,1181,9,97,0.75,"Todos los vientos","Sin pedregosidad","Textura franca","Atlántica","Moderadamente humífero","Moderadamente ácido (5>pH<6)","Suelo silíceo"
"16",151,3683174,376861,4751808,1114,5,31,4.5,"Umbría","Poco pedregoso","Textura franca","Atlántica","Moderadamente humífero","Moderadamente ácido (5>pH<6)","Suelo silíceo"
"17",154,3682421,380891,4751806,1332,5,397,2.75,"Umbría","Sin pedregosidad","Textura franca","Atlántica","Moderadamente humífero","Moderadamente ácido (5>pH<6)","Suelo silíceo"
"18",160,3683147,377887,4750782,1230,9,259,6.5,"Umbría","Sin pedregosidad","Textura franca","Atlántica","Muy humífero","Moderadamente ácido (5>pH<6)","Suelo silíceo"
"19",162,3688442,396931,4750791,1400,9,85,7.75,"Solana","Pedregosos","Textura franca","Atlántica","Moderadamente humífero","Moderadamente ácido (5>pH<6)","Suelo silíceo"
"20",168,3688278,398912,4749759,1128,5,302,4,"Umbría","Sin pedregosidad","Textura franca","Atlántica","Moderadamente humífero","Moderadamente ácido (5>pH<6)","Suelo silíceo"
"21",172,3683429,375895,4747785,1128,5,231,4.25,"Umbría","Sin pedregosidad","Textura franca","Mediterránea","Moderadamente humífero","Moderadamente ácido (5>pH<6)","Suelo silíceo"
"22",173,3683429,376880,4747795,1043,6,55,6,"Umbría","Sin pedregosidad","Textura franca","Mediterránea","Moderadamente humífero","Moderadamente ácido (5>pH<6)","Suelo silíceo"
"23",174,3697827,379899,4747817,1020,6,11,7.5,"Solana","Sin pedregosidad","Textura franca","Mediterránea","Muy humífero","Moderadamente ácido (5>pH<6)","Suelo silíceo"
"24",175,3687137,381914,4747807,1088,6,58,6.75,"Solana","Sin pedregosidad","Textura arenosa","Mediterránea","Poco humífero","Moderadamente ácido (5>pH<6)","Suelo silíceo"
"25",181,3685969,398898,4746779,1065,6,394,4.25,"Solana","Sin pedregosidad","Textura franca","Atlántica","Moderadamente humífero","Moderadamente ácido (5>pH<6)","Suelo silíceo"
"26",184,3695915,377874,4745777,1038,5,270,5.25,"Umbría","Sin pedregosidad","Textura arenosa","Mediterránea","Moderadamente humífero","Moderadamente ácido (5>pH<6)","Suelo silíceo"
"27",190,3686461,381869,4743777,1200,5,353,3.5,"Solana","Poco pedregoso","Textura franca","Mediterránea","Moderadamente humífero","Moderadamente ácido (5>pH<6)","Suelo silíceo"
"28",193,3620843,345924,4743793,1438,8,67,6,"Umbría","Poco pedregoso","Textura franca","Atlántica","Moderadamente humífero","Moderadamente ácido (5>pH<6)","Suelo silíceo"
"29",194,21002106,346920,4743814,1270,8,78,10,"Umbría","Poco pedregoso","Textura franca","Atlántica","Muy humífero","Moderadamente ácido (5>pH<6)","Suelo silíceo"
