"ID","Estadillo","CoorX","CoorY","Fecha2","FRACCION2","FRACCION3","Fecha3","FRACCION4","Fecha4","IFN2Num_arb","IFN3Num_arb","IFN4Num_arb","IFN2_muert","IFN3_muert","IFN4_muert","N_IFN2","N_IFN3","N_IFN4","Ho_IFN2","Ho_IFN3","Ho_IFN4","HartIFN2","HartIFN3","HartIFN4","H_shannon2","H_shannon3","H_shannon4","SDIR_IFN2","SDIR_IFN3","SDIR_IFN4","max_abIFN2","n_especies_10IFN2","especie_dominanteIFN2","ComposicionIFN2","max_abIFN3","n_especies_10IFN3","especie_dominanteIFN3","ComposicionIFN3","max_abIFN4","n_especies_10IFN4","especie_dominanteIFN4","ComposicionIFN4","nCD_IFN2","FormaIFN2","nCD_IFN3","FormaIFN3","nCD_IFN4","FormaIFN4"
"1",47,368892,4754814,91,40,60,"05/26/03 00:00:00",90,"2019-08-28T22:00:00Z",13,33,51,0,0,0,986.75,1397.0272,1145.91655817596,5.68169011381621,8.60125200723605,13.5775274667517,58.0066877567763,32.2029067901807,22.5248543095357,0,0,0,0.261962040234356,0.64492333673934,0.835568706244678,100,1,21,"pura",100,1,21,"pura",100,1,21,"pura",2,"Regular",4,"Irregular",4,"Irregular"
"2",49,369907,4753795,91,90,80,"2006-03-03 00:00",95,"2019-07-10T22:00:00Z",22,26,31,0,0,3,495.12,638.17646,558.669689905784,11.8585289394739,16.4397746003165,19.2251410870473,39.2349519893196,24.9283152957454,22.7830617691537,0,0,0,0.553352512260888,0.816051019546821,0.940179734865424,100,1,42,"pura",100,1,42,"pura",100,1,42,"pura",7,"Irregular",8,"Irregular",8,"Irregular"
"3",54,357918,4751766,91,60,75,"2005-08-03 00:00",80,"2019-07-30T22:00:00Z",5,13,26,0,0,0,350.13,795.775,1407.63824121614,5.13661977236758,8.45492965855137,10.9711422580014,107.712745814661,43.4064265334272,25.1513791038659,0.689009238476659,0.551079928086973,0.213767452800811,0.130907611070305,0.366866845705308,0.803230431936043,64.0598520307506,2,43,"mixta",76.540979418726,2,42,"mixta",85.99979105942,2,42,"mixta",2,"Regular",3,"Irregular",5,"Irregular"
"4",66,365937,4749769,91,60,75,"05/27/03 00:00:00",70,"2019-09-23T22:00:00Z",4,8,9,0,0,1,65.2,76.96026,103.698374955923,7.96095444685466,9.64705882352941,10.3770368530768,161.053527476212,122.329440201061,97.9715194685281,0.684341143963379,0.875513082688524,1.21633660954124,0.0355241957023269,0.0782314828060707,0.091284155843162,51.0236379808384,2,42,"mixta",45.5445378033483,3,71,"mixta",39.0974746627207,3,43,"mixta",4,"Irregular",4,"Irregular",7,"Irregular"
"5",69,349879,4748713,91,25,70,"2004-09-03 00:00",60,"2019-08-20T22:00:00Z",2,10,18,0,0,0,63.66,569.4212,640.157089598296,5.75,7.28294212105226,10.9687951750498,225.661783532758,59.5710840746275,37.3041347792442,0,0,0.664656023518525,0.0250445924147124,0.351834178438751,0.20456639337307,100,1,21,"pura",100,1,21,"pura",59.7564715014866,2,21,"mixta",1,"Regular",5,"Irregular",6,"Irregular"
"6",72,357892,4748794,91,50,75,"2004-10-03 00:00",80,"2019-07-01T22:00:00Z",24,32,41,0,1,1,1223.71,958.4668,919.562670141199,9.63661977236758,10.8536776513153,15.4836621954446,30.7110878298429,30.8101435634261,22.0493008892539,0,0,0,0.482882909239418,0.523957842206048,0.686530440357687,100,1,21,"pura",100,1,21,"pura",100,1,21,"pura",4,"Irregular",5,"Irregular",5,"Irregular"
"7",90,372951,4747849,91,90,85,"03/25/03 00:00:00",95,"2019-08-04T22:00:00Z",11,21,32,0,0,0,1305.06,1336.902,905.415552139027,6.47746482927569,10.9549296585514,17.2668545732841,44.2424200919672,25.8463843552432,19.9260846913995,0.668856478524791,0.664528438654915,1.05394979379536,0.205480391759429,0.36947236053089,0.517333986147115,65.5481434750307,2,43,"mixta",64.0763198155695,2,43,"mixta",46.6854631316699,3,42,"mixta",2,"Regular",3,"Irregular",5,"Irregular"
"8",94,358890,4746728,91,65,80,"05/21/03 00:00:00",85,"2019-08-27T22:00:00Z",14,46,59,0,0,0,1591.54,1846.194,1648.13924725307,5.6591549430919,8.5,12.9814083911953,45.8562793421287,28.3466397760596,19.6444744469513,0,0,0,0.305824009897119,0.713582620748198,0.953235819203186,100,1,21,"pura",100,1,21,"pura",100,1,21,"pura",2,"Regular",3,"Irregular",3,"Irregular"
"9",109,363930,4745778,91,65,60,"04/30/03 00:00:00",65,"2019-09-17T22:00:00Z",22,29,33,0,0,0,1177.74,1365.1962,1266.16706119442,7.20422528454052,9.25242564407927,11.3061031046597,41.8742633640329,30.2834980494557,25.7336109478776,0,0,0,0.596989876539679,0.778040997868454,0.908541475589881,100,1,43,"pura",100,1,43,"pura",100,1,43,"pura",3,"Irregular",4,"Irregular",5,"Irregular"
"10",111,348850,4744750,91,85,85,"2004-08-03 00:00",70,"2019-06-18T22:00:00Z",62,58,39,0,0,0,1372.25,962.0035,515.520979999158,14.7974959855279,17.0707355302631,19.614394988447,18.8866237053198,19.5532349171074,23.2466881261445,0,0,0,0.997145335437823,0.900443681270541,0.689573072714869,100,1,21,"pura",100,1,21,"pura",100,1,21,"pura",4,"Irregular",6,"Irregular",5,"Irregular"
"11",113,363902,4743810,91,55,70,"2004-11-03 00:00",80,"2019-07-15T22:00:00Z",6,16,22,0,0,0,215.3,653.87952,487.651157534879,7.62085159520641,9.47615031763029,12.9649987963677,92.5835136535845,42.7246358023857,36.160303557544,0,0,0,0.314809757495697,0.782800650200241,0.654039546360822,100,1,43,"pura",100,1,43,"pura",100,1,43,"pura",5,"Irregular",7,"Irregular",6,"Irregular"
"12",123,381873,4757828,91,90,90,"04/28/03 00:00:00",100,"2019-07-03T22:00:00Z",43,43,52,0,0,0,1361.21,784.74022,903.010542078657,11.817702729841,16.4320938909475,20.2869862812871,23.7445285695934,22.4907177000842,16.9822500949386,0.360739082636114,0.223070705264478,0.293577328248608,1.23397518373663,0.882885580922495,1.10125533501856,95.4755954950231,1,42,"pura",96.5175495191088,1,42,"pura",95.0767932208101,1,42,"pura",7,"Irregular",7,"Irregular",9,"Irregular"
"13",125,378901,4756814,91,60,65,"2005-05-03 00:00",85,"2019-07-08T22:00:00Z",9,22,25,0,0,0,954.92,891.268,951.393685646087,6.81830988618379,10.1140846016433,12.3447883827224,49.135903684073,34.2869172344589,27.1891353216382,0,0,0,0.277942196200226,0.417675200027518,0.605377317755735,100,1,43,"pura",100,1,43,"pura",100,1,43,"pura",2,"Regular",3,"Irregular",4,"Irregular"
"14",131,385851,4755778,91,70,75,"05/14/03 00:00:00",80,"2019-05-12T22:00:00Z",14,19,28,0,0,2,179.06,258.04332,575.929173868434,11.5537590029999,12.6370265307906,14.7890005837574,66.9632592525459,50.9997409813422,29.169958606521,0.677711574386536,0.677677923729731,1.25484800021081,0.233470298750693,0.272642423277856,0.578355017469208,72.6645804729539,2,42,"mixta",72.671874467861,2,42,"mixta",79.6063803595748,2,42,"mixta",9,"Irregular",8,"Irregular",9,"Irregular"
