"ID","Estadillo","CoorX","CoorY","IDComarca","Comarca","Municipio","IDMuni","EspacioProtegido","FiguraProteccion","MUP","tipo_prop","pertenenci","deslindado","amojonado"
"1",109,363930,4745778,3405,"Guardo","Santibáñez de la Peña",34171,"No","No","Peña Blanca, Fuente Vieja y Miranda Corcal","E.L.M.","E.L.M. de Velilla de la Peña","No","No"
"2",111,348850,4744750,3405,"Guardo","Velilla del Río Carrión",34199,"No","No","Baldíos de Arbillos","Ayto.","Ayto. de Velilla del Río Carrión","Sí","No"
"3",113,363902,4743810,3405,"Guardo","Santibáñez de la Peña",34171,"No","No","Cañadas y Boltur","E.L.M.","E.L.M. de Velilla de la Peña","No","No"
"4",123,381873,4757828,3406,"Cervera","Cervera de Pisuerga",34056,"Montaña Palentina","Parque Natural","Dehesa de Avellanos","E.L.M.","E.L.M. de Celada de Roblecedo","No","No"
"5",125,378901,4756814,3406,"Cervera","Cervera de Pisuerga",34056,"Montaña Palentina","Parque Natural","La Loma y Ballabar","Entidad Asociativa","E.L.M. de Verdeña, E.L.M. de Estalaya","No","No"
"6",131,385851,4755778,3406,"Cervera","Cervera de Pisuerga",34056,"Montaña Palentina","Parque Natural","Los Sotos y Rocedo","E.L.M.","E.L.M. de Herreruela de Castilleria","No","No"
"7",133,377862,4754828,3406,"Cervera","Cervera de Pisuerga",34056,"Montaña Palentina","Parque Natural","Acebal","E.L.M.","E.L.M. de Vañes","No","No"
"8",151,376861,4751808,3406,"Cervera","Cervera de Pisuerga",34056,"Montaña Palentina","Parque Natural","La Dehesa de Villanueva","Ayto.","Ayto. de Cervera de Pisuerga","No","No"
"9",154,380891,4751806,3406,"Cervera","Cervera de Pisuerga",34056,"Montaña Palentina","Parque Natural","Montecillo y Quemado","E.L.M.","E.L.M. de San Felices de Castilleria","No","No"
"10",160,377887,4750782,3406,"Cervera","Cervera de Pisuerga",34056,"Montaña Palentina","Parque Natural","Tremedal","Ayto.","Ayto. de Cervera de Pisuerga","No","No"
"11",162,396931,4750791,3407,"Aguilar","Barruelo de Santullán",34027,"No","No","La Sierra","E.L.M.","E.L.M. de Porquera de Santullan","No","No"
"12",168,398912,4749759,3407,"Aguilar","Aguilar de Campoo",34004,"Montaña Palentina","Parque Natural","Aguilar","Ayto.","Ayto. de Aguilar de Campoo","Sí","Sí"
"13",172,375895,4747785,3406,"Cervera","Cervera de Pisuerga",34056,"Montaña Palentina","Parque Natural","La Dehesa","Ayto.","Ayto. de Cervera de Pisuerga","Sí","Sí"
"14",173,376880,4747795,3406,"Cervera","Cervera de Pisuerga",34056,"Montaña Palentina","Parque Natural","La Dehesa","Ayto.","Ayto. de Cervera de Pisuerga","Sí","Sí"
"15",174,379899,4747817,3406,"Cervera","Cervera de Pisuerga",34056,"No","No","Dehesa de Boyal","E.L.M.","E.L.M. de Valsadornin","No","No"
"16",175,381914,4747807,3406,"Cervera","Cervera de Pisuerga",34056,"No","No","El Hoyal","E.L.M.","E.L.M. de Ligüerzana","No","No"
"17",181,398898,4746779,3407,"Aguilar","Aguilar de Campoo",34004,"No","No","La Peñilla","E.L.M.","E.L.M. de Cordovilla","No","No"
"18",184,377874,4745777,3406,"Cervera","Cervera de Pisuerga",34056,"No","No","La Robla","Ayto.","Ayto. de Cervera de Pisuerga","Sí","Sí"
"19",190,381869,4743777,3406,"Cervera","Cervera de Pisuerga",34056,"No","No","El Cadéramo","E.L.M.","E.L.M. de Quintanaluengos","No","No"
"20",193,345924,4743793,3405,"Guardo","Velilla del Río Carrión",34199,"No","No","Majadilla y Solana","Ayto.","Ayto. de Velilla delRío Carrión","Sí","Sí"
