"Estadillo","CoorX","CoorY","IDCounty","County","Municipality","IDMunicipality","ProtectedArea","ProtectionStatus","PublicForest","Ownership","BoundMarkers","LegaDemarcated"
109,363930,4745778,3405,"GUARDO","Santibáñez de la Peña",34171,"","","Peña Blanca, Fuente Vieja y Miranda Corcal","E.L.M. de Velilla de la Peña","No","No"
111,348850,4744750,3405,"GUARDO","Velilla del Río Carrión",34199,"","","Baldíos de Arbillos","Ayto. de Velilla del Río Carrión","Sí","No"
113,363902,4743810,3405,"GUARDO","Santibáñez de la Peña",34171,"","","Cañadas y Boltur","E.L.M. de Velilla de la Peña","No","No"
123,381873,4757828,3406,"CERVERA","Cervera de Pisuerga",34056,"Montaña Palentina","Parque Natural","Dehesa de Avellanos","E.L.M. de Celada de Roblecedo","No","No"
125,378901,4756814,3406,"CERVERA","Cervera de Pisuerga",34056,"Montaña Palentina","Parque Natural","La Loma y Ballabar","E.L.M. de Verdeña, E.L.M. de Estalaya","No","No"
131,385851,4755778,3406,"CERVERA","Cervera de Pisuerga",34056,"Montaña Palentina","Parque Natural","Los Sotos y Rocedo","E.L.M. de Herreruela de Castilleria","No","No"
133,377862,4754828,3406,"CERVERA","Cervera de Pisuerga",34056,"Montaña Palentina","Parque Natural","Acebal","E.L.M. de Vañes","No","No"
151,376861,4751808,3406,"CERVERA","Cervera de Pisuerga",34056,"Montaña Palentina","Parque Natural","La Dehesa de Villanueva","Ayto. de Cervera de Pisuerga","No","No"
154,380891,4751806,3406,"CERVERA","Cervera de Pisuerga",34056,"Montaña Palentina","Parque Natural","Montecillo y Quemado","E.L.M. de San Felices de Castilleria","No","No"
160,377887,4750782,3406,"CERVERA","Cervera de Pisuerga",34056,"Montaña Palentina","Parque Natural","Tremedal","Ayto. de Cervera de Pisuerga","No","No"
162,396931,4750791,3407,"AGUILAR","Barruelo de Santullán",34027,"","","La Sierra","E.L.M. de Porquera de Santullan","No","No"
168,398912,4749759,3407,"AGUILAR","Aguilar de Campoo",34004,"Montaña Palentina","Parque Natural","Aguilar","Ayto. de Aguilar de Campoo","Sí","Sí"
172,375895,4747785,3406,"CERVERA","Cervera de Pisuerga",34056,"Montaña Palentina","Parque Natural","La Dehesa","Ayto. de Cervera de Pisuerga","Sí","Sí"
173,376880,4747795,3406,"CERVERA","Cervera de Pisuerga",34056,"Montaña Palentina","Parque Natural","La Dehesa","Ayto. de Cervera de Pisuerga","Sí","Sí"
174,379899,4747817,3406,"CERVERA","Cervera de Pisuerga",34056,"","","Dehesa de Boyal","E.L.M. de Valsadornin","No","No"
175,381914,4747807,3406,"CERVERA","Cervera de Pisuerga",34056,"","","El Hoyal","E.L.M. de Ligüerzana","No","No"
181,398898,4746779,3407,"AGUILAR","Aguilar de Campoo",34004,"","","La Peñilla","E.L.M. de Cordovilla","No","No"
184,377874,4745777,3406,"CERVERA","Cervera de Pisuerga",34056,"","","La Robla","Ayto. de Cervera de Pisuerga","Sí","Sí"
190,381869,4743777,3406,"CERVERA","Cervera de Pisuerga",34056,"","","El Cadéramo","E.L.M. de Quintanaluengos","No","No"
193,345924,4743793,3405,"GUARDO","Velilla del Río Carrión",34199,"","","Majadilla y Solana","Ayto. de Velilla delRío Carrión","Sí","Sí"
194,346920,4743814,3405,"GUARDO","Velilla del Río Carrión",34199,"","","Majadilla y Solana","Ayto. de Velilla delRío Carrión","Sí","Sí"
200,345856,4735793,3405,"GUARDO","Mantinos",34100,"","","Pedrosillo, Redondillo y Laguna","Ayto. de Mantinos","No","No"
203,346995,4734838,3405,"GUARDO","Mantinos",34100,"","","Páramo de la Mimbre","Ayto. de Mantinos","No","No"
205,345868,4733795,3405,"GUARDO","Villalba de Guardo",34214,"","","Páramo del Otro Lado","Ayto. de Villalba de Guardo","No","No"
211,346963,4729817,3405,"GUARDO","Fresno del Río",34073,"","","El Soto","Ayto. de Fresno delRío","Sí","Sí"
213,345887,4728809,3405,"GUARDO","Fresno del Río",34073,"","","El Soto","Ayto. de Fresno delRío","Sí","Sí"
215,347873,4728789,3405,"GUARDO","Fresno del Río",34073,"","","El Soto","Ayto. de Fresno delRío","Sí","Sí"
217,346936,4727784,3405,"GUARDO","Fresno del Río",34073,"","","El Soto","Ayto. de Fresno delRío","Sí","Sí"
219,344871,4726777,3405,"GUARDO","Fresno del Río",34073,"","","El Soto","Ayto. de Fresno delRío","Sí","Sí"
227,373885,4739823,3406,"CERVERA","Dehesa de Montejo",34067,"","","Las Rozas","E.L.M. de Colmenares de Ojeda","No","No"
229,361861,4737796,3405,"GUARDO","Respenda de la Peña",34151,"","","Cabadilla","E.L.M. de Barajores de la Peña","No","No"
234,357904,4735777,3405,"GUARDO","Santibáñez de la Peña",34171,"","","Carrera del Cuerno","E.L.M. de Cornon de la Peña","No","No"
236,359901,4735801,3405,"GUARDO","Respenda de la Peña",34151,"","","Valdemadera","E.L.M. de Respenda de la Peña","No","No"
241,352865,4734813,3405,"GUARDO","Santibáñez de la Peña",34171,"","","Camporredondo","E.L.M. de Villanueva de Arriba, E.L.M. de Villaoliva de la Peña","No","No"
242,353876,4734814,3405,"GUARDO","Santibáñez de la Peña",34171,"","","Camporredondo","E.L.M. de Villanueva de Arriba, E.L.M. de Villaoliva de la Peña","No","No"
250,352892,4733753,3405,"GUARDO","Santibáñez de la Peña",34171,"","","Camporredondo","E.L.M. de Villanueva de Arriba, E.L.M. de Villaoliva de la Peña","No","No"
252,359878,4733793,3405,"GUARDO","Respenda de la Peña",34151,"","","Abajo","E.L.M. de Fontecha","No","No"
255,369882,4733786,3406,"CERVERA","Castrejón de la Peña",34049,"","","Ojascal","E.L.M. de Roscales de la Peña","Sí","Sí"
259,353892,4732804,3405,"GUARDO","Respenda de la Peña",34151,"","","Pentinela y Valdemorata","E.L.M. de Fontecha","Sí","Sí"
