"Estadillo","CoorX","CoorY","Altitude_m","FuelModel","Aspect","Slope","Exposure","Stoniness","Texture","BioRigion","OrganicMatter","SoilpH","SoilType"
47,368892,4754814,1572,5,,6.25,Shady slope,Slightly stony,Loam texture,Atlantic,Moderately humic,Moderately acidic (5>pH<6),Siliceous soil
49,369907,4753795,1350,9,,12.5,Shady slope,Slightly stony,Sandy texture,Atlantic,Moderately humic,Moderately acidic (5>pH<6),Siliceous soil
54,357918,4751766,1405,7,,10.25,Shady slope,Very stony,Loam texture,Atlantic,Moderately humic,Moderately acidic (5>pH<6),Siliceous soil
66,365937,4749769,1307,2,,11.25,Sunny slope,Stony,Loam texture,Atlantic,Moderately humic,Moderately acidic (5>pH<6),Limestone soil
69,349879,4748713,1402,7,,7.5,Shady slope,Stony,Loam texture,Atlantic,Moderately humic,Moderately acidic (5>pH<6),Siliceous soil
72,357892,4748794,1499,7,,10.5,Shady slope,Stony,Loam texture,Atlantic,Moderately humic,Moderately acidic (5>pH<6),Siliceous soil
90,372951,4747849,1126,9,,5.75,Shady slope,Slightly stony,Loam texture,Atlantic,Highly humic,Moderately acidic (5>pH<6),Siliceous soil
94,358890,4746728,1566,7,,7.0,Sunny slope,Very stony,Loam texture,Atlantic,Moderately humic,Moderately acidic (5>pH<6),Siliceous soil
109,363930,4745778,1400,5,,8.75,Sunny slope,Stony,Loam texture,Atlantic,Highly humic,Moderately acidic (5>pH<6),Limestone soil
111,348850,4744750,1204,8,,0.25,All exposures,Slightly stony,Sandy texture,Atlantic,Moderately humic,Strongly acidic (3>pH<4),Siliceous soil
113,363902,4743810,1233,7,,7.5,Shady slope,Stony,Loam texture,Mediterranean,Moderately humic,Moderately acidic (5>pH<6),Siliceous soil
123,381873,4757828,1304,9,,5.75,Sunny slope,No stoniness,Loam texture,Atlantic,Moderately humic,Moderately acidic (5>pH<6),Siliceous soil
125,378901,4756814,1179,4,,6.5,Shady slope,No stoniness,Loam texture,Atlantic,Highly humic,Moderately acidic (5>pH<6),Siliceous soil
131,385851,4755778,1431,6,,11.0,Sunny slope,Slightly stony,Loam texture,Atlantic,Moderately humic,Moderately acidic (5>pH<6),Siliceous soil
133,377862,4754828,1181,9,,0.75,All exposures,No stoniness,Loam texture,Atlantic,Moderately humic,Moderately acidic (5>pH<6),Siliceous soil
151,376861,4751808,1114,5,,4.5,Shady slope,Slightly stony,Loam texture,Atlantic,Moderately humic,Moderately acidic (5>pH<6),Siliceous soil
154,380891,4751806,1332,5,,2.75,Shady slope,No stoniness,Loam texture,Atlantic,Moderately humic,Moderately acidic (5>pH<6),Siliceous soil
160,377887,4750782,1230,9,,6.5,Shady slope,No stoniness,Loam texture,Atlantic,Highly humic,Moderately acidic (5>pH<6),Siliceous soil
168,398912,4749759,1128,5,,4.0,Shady slope,No stoniness,Loam texture,Atlantic,Moderately humic,Moderately acidic (5>pH<6),Siliceous soil
172,375895,4747785,1128,5,,4.25,Shady slope,No stoniness,Loam texture,Mediterranean,Moderately humic,Moderately acidic (5>pH<6),Siliceous soil
173,376880,4747795,1043,6,,6.0,Shady slope,No stoniness,Loam texture,Mediterranean,Moderately humic,Moderately acidic (5>pH<6),Siliceous soil
174,379899,4747817,1020,6,,7.5,Sunny slope,No stoniness,Loam texture,Mediterranean,Highly humic,Moderately acidic (5>pH<6),Siliceous soil
175,381914,4747807,1088,6,,6.75,Sunny slope,No stoniness,Sandy texture,Mediterranean,Low humic,Moderately acidic (5>pH<6),Siliceous soil
181,398898,4746779,1065,6,,4.25,Sunny slope,No stoniness,Loam texture,Atlantic,Moderately humic,Moderately acidic (5>pH<6),Siliceous soil
184,377874,4745777,1038,5,,5.25,Shady slope,No stoniness,Sandy texture,Mediterranean,Moderately humic,Moderately acidic (5>pH<6),Siliceous soil
190,381869,4743777,1200,5,,3.5,Sunny slope,Slightly stony,Loam texture,Mediterranean,Moderately humic,Moderately acidic (5>pH<6),Siliceous soil
193,345924,4743793,1438,8,,6.0,Shady slope,Slightly stony,Loam texture,Atlantic,Moderately humic,Moderately acidic (5>pH<6),Siliceous soil
194,346920,4743814,1270,8,,10.0,Shady slope,Slightly stony,Loam texture,Atlantic,Highly humic,Moderately acidic (5>pH<6),Siliceous soil
200,345856,4735793,1180,11,,0.5,All exposures,Slightly stony,Clay texture,Mediterranean,Low humic,Moderately acidic (5>pH<6),Siliceous soil
203,346995,4734838,1168,11,,0.25,All exposures,Slightly stony,Loam texture,Mediterranean,Low humic,Moderately acidic (5>pH<6),Siliceous soil
205,345868,4733795,1157,8,,0.5,All exposures,Slightly stony,Sandy texture,Mediterranean,Moderately humic,Moderately acidic (5>pH<6),Siliceous soil
211,346963,4729817,1122,11,,0.25,All exposures,Slightly stony,Loam texture,Mediterranean,Moderately humic,Moderately acidic (5>pH<6),Siliceous soil
213,345887,4728809,1110,11,,5.5,All exposures,Slightly stony,Clay texture,Mediterranean,Low humic,Moderately acidic (5>pH<6),Siliceous soil
215,347873,4728789,1100,11,,1.0,All exposures,Slightly stony,Loam texture,Mediterranean,Low humic,Moderately acidic (5>pH<6),Siliceous soil
217,346936,4727784,1115,7,,0.25,All exposures,Slightly stony,Loam texture,Mediterranean,Low humic,Moderately acidic (5>pH<6),Siliceous soil
219,344871,4726777,1094,11,,1.25,All exposures,Slightly stony,Loam texture,Mediterranean,Low humic,Moderately acidic (5>pH<6),Siliceous soil
227,373885,4739823,1103,5,,6.5,Shady slope,No stoniness,Loam texture,Mediterranean,Highly humic,Moderately acidic (5>pH<6),Siliceous soil
229,361861,4737796,1121,5,,2.5,Sunny slope,Slightly stony,Loam texture,Mediterranean,Low humic,Moderately acidic (5>pH<6),Siliceous soil
234,357904,4735777,1137,9,,4.0,Sunny slope,Slightly stony,Loam texture,Mediterranean,Low humic,Moderately acidic (5>pH<6),Siliceous soil
236,359901,4735801,1124,5,,3.5,Shady slope,Slightly stony,Loam texture,Mediterranean,Low humic,Moderately acidic (5>pH<6),Siliceous soil
241,352865,4734813,1154,5,,1.0,All exposures,Slightly stony,Loam texture,Mediterranean,Moderately humic,Moderately acidic (5>pH<6),Siliceous soil
242,353876,4734814,1161,5,,0.25,All exposures,Slightly stony,Loam texture,Mediterranean,Moderately humic,Moderately acidic (5>pH<6),Siliceous soil
