"Estadillo","CoorX","CoorY","DamageNFI2"
47,368892,4754814,"No damage observed"
49,369907,4753795,"No damage observed"
54,357918,4751766,"Minor leaf damage caused by insects"
66,365937,4749769,"No damage observed"
69,349879,4748713,"Severe damage caused by fire"
72,357892,4748794,"Moderate damage caused by wind"
90,372951,4747849,"No damage observed"
94,358890,4746728,"No damage observed"
109,363930,4745778,"No damage observed"
111,348850,4744750,"Minor leaf damage caused by insects"
113,363902,4743810,"Minor damage caused by fire"
123,381873,4757828,"No damage observed"
125,378901,4756814,"No damage observed"
131,385851,4755778,"No damage observed"
133,377862,4754828,"No damage observed"
151,376861,4751808,"No damage observed"
154,380891,4751806,"No damage observed"
160,377887,4750782,"No damage observed"
162,396931,4750791,"No damage observed"
168,398912,4749759,"No damage observed"
172,375895,4747785,"Moderate leaf damage from unknown causes"
173,376880,4747795,"Severe bark damage caused by fire"
174,379899,4747817,"Severe leaf damage from unknown causes"
175,381914,4747807,"No damage observed"
181,398898,4746779,"Minor trunk damage caused by fire"
184,377874,4745777,"No damage observed"
190,381869,4743777,"No damage observed"
193,345924,4743793,"Minor leaf damage caused by insects"
194,346920,4743814,"Minor branch damage caused by wind"
200,345856,4735793,"No damage observed"
203,346995,4734838,"No damage observed"
205,345868,4733795,"No damage observed"
211,346963,4729817,"No damage observed"
213,345887,4728809,"Minor leaf damage caused by insects"
215,347873,4728789,"Minor leaf damage caused by insects"
217,346936,4727784,"Minor leaf damage caused by insects"
219,344871,4726777,"Minor leaf damage caused by insects"
227,373885,4739823,"Moderate bark damage caused by fire"
229,361861,4737796,"Moderate damage caused by fire"
234,357904,4735777,"No damage observed"
236,359901,4735801,"Moderate damage caused by fire"
241,352865,4734813,"Minor leaf damage caused by insects"
242,353876,4734814,"Minor leaf damage caused by insects"
250,352892,4733753,"Minor leaf damage caused by insects"
252,359878,4733793,"Moderate damage caused by fire"
255,369882,4733786,"Minor leaf damage caused by insects"
259,353892,4732804,"Minor leaf damage caused by insects"
260,369881,4732783,"Severe damage caused by fire"
267,354892,4730794,"Minor leaf damage caused by insects"
277,370905,4729765,"Minor leaf damage caused by insects"
280,356902,4728782,"Minor leaf damage caused by insects"
281,357857,4728757,"Minor leaf damage caused by insects"
283,355888,4727755,"Minor leaf damage caused by insects"
290,367892,4727794,"Minor leaf damage caused by insects"
293,356886,4726774,"Minor leaf damage caused by insects"
295,358886,4726778,"Minor leaf damage caused by insects"
297,361863,4726789,"Minor leaf damage caused by insects"
298,362873,4726785,"Minor leaf damage caused by insects"
301,355872,4725777,"Minor leaf damage caused by insects"
303,357880,4725784,"Minor leaf damage caused by insects"
308,363877,4725797,"Minor leaf damage caused by insects"
309,365914,4725803,"Minor damage from anthropogenic causes"
310,369891,4725818,"Moderate damage caused by fire"
312,371910,4725776,"Minor leaf damage caused by insects"
314,379922,4741791,"No damage observed"
317,395892,4739813,"No damage observed"
323,392897,4737784,"No damage observed"
324,393919,4737785,"No damage observed"
328,391892,4735793,"No damage observed"
329,393907,4735792,"No damage observed"
331,377904,4734780,"Minor leaf damage caused by insects"
338,385903,4733807,"Moderate leaf damage caused by insects"
345,399933,4732794,"No damage observed"
352,395886,4729801,"No damage observed"
354,397911,4729768,"No damage observed"
363,389904,4726785,"Minor leaf damage caused by insects"
365,391912,4726792,"No damage observed"
368,376882,4725806,"No damage observed"
371,409896,4741812,"No damage observed"
382,345937,4724840,"Minor leaf damage caused by insects"
384,345955,4723788,"Minor leaf damage caused by insects"
386,345918,4722804,"Minor leaf damage caused by insects"
398,347903,4719775,"Minor leaf damage caused by insects"
402,344928,4717802,"No damage observed"
404,344906,4716775,"Severe trunk damage caused by fire"
407,344905,4714759,"No damage observed"
411,345899,4710808,"No damage observed"
412,346899,4710829,"Minor trunk damage from unknown causes"
418,356864,4724825,"No damage observed"
424,371876,4724791,"No damage observed"
431,370880,4723808,"No damage observed"
436,355869,4722843,"No damage observed"
439,364896,4722817,"No damage observed"
452,360862,4720787,"No damage observed"
453,366901,4720793,"No damage observed"
454,370877,4720814,"No damage observed"
458,362936,4719770,"No damage observed"
461,371894,4719803,"No damage observed"
465,353868,4718832,"No damage observed"
472,354883,4717798,"No damage observed"
475,354882,4716797,"No damage observed"
478,370892,4716793,"No damage observed"
479,371880,4716791,"No damage observed"
486,371893,4714777,"Minor leaf damage caused by insects"
490,361938,4713829,"No damage observed"
495,357928,4712810,"No damage observed"
499,365895,4711778,"No damage observed"
504,347892,4709783,"No damage observed"
508,368879,4708799,"Minor leaf damage from unknown causes"
514,368910,4707768,"No damage observed"
527,381904,4719769,"No damage observed"
528,375897,4717807,"No damage observed"
530,375915,4716812,"No damage observed"
532,376914,4715806,"No damage observed"
534,375886,4714758,"No damage observed"
536,381923,4714793,"No damage observed"
537,382949,4714815,"No damage observed"
539,375907,4713789,"No damage observed"
542,380917,4713787,"No damage observed"
549,383915,4712820,"No damage observed"
553,376886,4710778,"No damage observed"
555,376889,4709803,"Minor leaf damage caused by insects"
557,375873,4708781,"No damage observed"
576,345836,4697773,"No damage observed"
578,346837,4696847,"No damage observed"
581,347913,4706774,"No damage observed"
599,347828,4694857,"No damage observed"
602,347874,4692812,"Minor leaf damage caused by insects"
623,383887,4701819,"Moderate bark damage caused by fire"
627,383918,4700770,"Moderate bark damage caused by fire"
