"Estadillo","CoorX","CoorY","IdDamageNFI3","DamageNFI3","TreesDamNFI3","TotalTreesNFI3","PercentageDamageNFI3"
47,368892,4754814,100,"No damage observed",32,33,96.97
47,368892,4754814,300,"Biotic damage",1,33,3.03
49,369907,4753795,100,"No damage observed",20,26,76.92
49,369907,4753795,316,"Competition",5,26,19.23
49,369907,4753795,421,"Fire",1,26,3.85
54,357918,4751766,100,"No damage observed",13,13,100
66,365937,4749769,100,"No damage observed",7,8,87.5
66,365937,4749769,300,"Biotic damage",1,8,12.5
69,349879,4748713,100,"No damage observed",8,10,80
69,349879,4748713,314,"Wildlife",2,10,20
72,357892,4748794,100,"No damage observed",31,32,96.88
72,357892,4748794,310,"Fungi",1,32,3.12
90,372951,4747849,100,"No damage observed",21,21,100
94,358890,4746728,100,"No damage observed",45,46,97.83
94,358890,4746728,316,"Competition",1,46,2.17
109,363930,4745778,100,"No damage observed",20,29,68.97
109,363930,4745778,310,"Fungi",5,29,17.24
109,363930,4745778,316,"Competition",4,29,13.79
111,348850,4744750,100,"No damage observed",58,58,100
113,363902,4743810,100,"No damage observed",13,16,81.25
113,363902,4743810,310,"Fungi",1,16,6.25
113,363902,4743810,421,"Fire",2,16,12.5
123,381873,4757828,100,"No damage observed",40,43,93.02
123,381873,4757828,200,"Unknown causes",1,43,2.33
123,381873,4757828,316,"Competition",1,43,2.33
123,381873,4757828,400,"Abiotic damage",1,43,2.33
125,378901,4756814,100,"No damage observed",21,22,95.45
125,378901,4756814,316,"Competition",1,22,4.55
131,385851,4755778,100,"No damage observed",11,19,57.89
131,385851,4755778,312,"Mistletoe and similar",2,19,10.53
131,385851,4755778,316,"Competition",5,19,26.32
131,385851,4755778,400,"Abiotic damage",1,19,5.26
133,377862,4754828,100,"No damage observed",44,52,84.62
133,377862,4754828,316,"Competition",7,52,13.46
133,377862,4754828,400,"Abiotic damage",1,52,1.92
151,376861,4751808,100,"No damage observed",48,53,90.57
151,376861,4751808,316,"Competition",5,53,9.43
154,380891,4751806,100,"No damage observed",7,10,70
154,380891,4751806,316,"Competition",3,10,30
160,377887,4750782,100,"No damage observed",26,29,89.66
160,377887,4750782,316,"Competition",3,29,10.34
162,396931,4750791,100,"No damage observed",21,34,61.76
162,396931,4750791,316,"Competition",12,34,35.29
162,396931,4750791,400,"Abiotic damage",1,34,2.94
