"Estadillo","SpeciesID","SpeciesName","CanopySHRNFI2","CanopySHRNFI3","CanopySHRNFI4","HmSHRNFI2","HmSHRNFI3","HmSHRNFI4"
47,102,"Erica spp.",80,NA,NA,15,NA,NA
47,103,"Other papilionoid shrubs (Ht>1.5m)",10,NA,NA,15,NA,NA
47,106,"Calluna vulgaris",NA,15,NA,NA,15,NA
47,137,"Vaccinium myrtillus",NA,15,24,NA,2,2
47,2102,"Erica australis",NA,75,30,NA,15,11
47,4104,"Cytisus spp.",NA,5,NA,NA,12,NA
49,102,"Erica spp.",30,NA,NA,15,NA,NA
49,103,"Other papilionoid shrubs (Ht>1.5m)",10,NA,NA,15,NA,NA
49,121,"Rubus spp.",NA,5,NA,NA,3,NA
49,1102,"Erica arborea",NA,20,4,NA,10,3
49,4104,"Cytisus spp.",NA,10,2,NA,15,2
54,102,"Erica spp.",60,NA,NA,14,NA,NA
54,103,"Other papilionoid shrubs (Ht>1.5m)",15,NA,NA,18,NA,NA
54,137,"Vaccinium myrtillus",NA,20,42,NA,4,3
54,1102,"Erica arborea",NA,75,45,NA,12,15
54,2102,"Erica australis",NA,10,12,NA,12,15
54,4104,"Cytisus spp.",NA,20,2,NA,15,20
66,103,"Other papilionoid shrubs (Ht>1.5m)",10,NA,NA,10,NA,NA
66,119,"Rosa spp.",NA,5,5,NA,15,10
66,122,"Rhamnus spp.",NA,5,NA,NA,15,NA
66,179,"Teucrium fruticans",NA,NA,2,NA,NA,1
66,2950,NA,NA,NA,4,NA,NA,5
66,4104,"Cytisus spp.",NA,10,10,NA,10,10
69,102,"Erica spp.",65,NA,NA,15,NA,NA
69,104,"Other papilionoid shrubs (Ht<1.5m)",15,NA,NA,4,NA,NA
69,117,"Halimium spp.",10,5,1,5,4,3
69,136,"Chamaespartium tridentatum",NA,25,2,NA,5,3
69,2102,"Erica australis",NA,70,80,NA,12,13
72,102,"Erica spp.",60,NA,NA,15,NA,NA
72,103,"Other papilionoid shrubs (Ht>1.5m)",25,NA,NA,20,NA,NA
72,137,"Vaccinium myrtillus",NA,20,60,NA,3,4
72,1102,"Erica arborea",NA,50,30,NA,15,13
72,4104,"Cytisus spp.",NA,10,5,NA,20,15
90,102,"Erica spp.",70,NA,NA,15,NA,NA
90,119,"Rosa spp.",NA,NA,1,NA,NA,3
90,137,"Vaccinium myrtillus",NA,20,15,NA,2,2
90,1102,"Erica arborea",NA,15,7,NA,4,4
90,1555,NA,NA,NA,1,NA,NA,5
94,102,"Erica spp.",70,NA,NA,10,NA,NA
94,103,"Other papilionoid shrubs (Ht>1.5m)",10,NA,NA,8,NA,NA
94,137,"Vaccinium myrtillus",NA,15,21,NA,3,1
94,2102,"Erica australis",NA,60,12,NA,15,10
94,4104,"Cytisus spp.",NA,5,NA,NA,15,NA
109,102,"Erica spp.",10,10,NA,4,3,NA
109,103,"Other papilionoid shrubs (Ht>1.5m)",10,NA,NA,6,NA,NA
109,107,"Arctostaphylos uva-ursi",15,25,25,1,2,2
109,119,"Rosa spp.",15,15,12,15,15,17
109,200,NA,NA,NA,8,NA,NA,10
109,1139,"Juniperus sabina",NA,NA,13,NA,NA,2
109,2110,"Daphne laureola",NA,NA,5,NA,NA,3
109,4104,"Cytisus spp.",NA,10,NA,NA,15,NA
111,102,"Erica spp.",10,NA,NA,14,NA,NA
111,106,"Calluna vulgaris",10,NA,NA,2,NA,NA
111,117,"Halimium spp.",5,NA,NA,2,NA,NA
111,119,"Rosa spp.",NA,NA,1,NA,NA,1
111,2102,"Erica australis",NA,25,39,NA,3,2
113,102,"Erica spp.",10,NA,NA,7,NA,NA
113,103,"Other papilionoid shrubs (Ht>1.5m)",50,NA,NA,7,NA,NA
113,106,"Calluna vulgaris",NA,3,NA,NA,6,NA
113,119,"Rosa spp.",10,10,5,20,8,8
113,121,"Rubus spp.",NA,NA,5,NA,NA,20
113,1102,"Erica arborea",NA,15,20,NA,12,16
113,3121,"Rubus ulmifolius",NA,5,NA,NA,10,NA
113,4103,"Retama spp.",NA,NA,5,NA,NA,5
113,4104,"Cytisus spp.",NA,40,40,NA,15,12
123,103,"Other papilionoid shrubs (Ht>1.5m)",20,NA,NA,15,NA,NA
123,119,"Rosa spp.",10,5,5,10,2,3
123,2110,"Daphne laureola",NA,3,NA,NA,3,NA
123,3155,"Genista scorpius",NA,6,NA,NA,1,NA
123,4103,"Retama spp.",NA,3,NA,NA,3,NA
123,4104,"Cytisus spp.",NA,NA,6,NA,NA,3
125,102,"Erica spp.",70,NA,NA,20,NA,NA
125,103,"Other papilionoid shrubs (Ht>1.5m)",30,NA,NA,20,NA,NA
125,119,"Rosa spp.",NA,1,NA,NA,20,NA
125,137,"Vaccinium myrtillus",NA,75,92,NA,3,3
125,1102,"Erica arborea",NA,90,70,NA,20,20
125,4103,"Retama spp.",NA,5,NA,NA,23,NA
131,103,"Other papilionoid shrubs (Ht>1.5m)",20,NA,NA,15,NA,NA
131,115,"Viburnum spp.",10,5,17,15,18,25
131,119,"Rosa spp.",20,5,8,15,15,30
131,121,"Rubus spp.",NA,3,NA,NA,3,NA
131,4103,"Retama spp.",NA,10,5,NA,5,20
133,4103,"Retama spp.",NA,1,1,NA,2,2
151,103,"Other papilionoid shrubs (Ht>1.5m)",10,NA,NA,15,NA,NA
151,115,"Viburnum spp.",10,3,NA,15,1,NA
151,119,"Rosa spp.",20,7,12,20,19,25
151,121,"Rubus spp.",NA,1,NA,NA,1,NA
151,1167,"Cytisus scoparius",NA,NA,3,NA,NA,5
151,1555,NA,NA,NA,4,NA,NA,25
151,3115,NA,NA,NA,4,NA,NA,4
151,4104,"Cytisus spp.",NA,2,NA,NA,5,NA
154,102,"Erica spp.",NA,2,2,NA,1,1
154,106,"Calluna vulgaris",20,10,12,2,3,3
154,4103,"Retama spp.",NA,1,5,NA,3,9
154,4104,"Cytisus spp.",NA,3,NA,NA,6,NA
160,102,"Erica spp.",5,NA,NA,4,NA,NA
160,103,"Other papilionoid shrubs (Ht>1.5m)",10,NA,NA,10,NA,NA
160,119,"Rosa spp.",5,5,2,10,6,3
160,121,"Rubus spp.",NA,3,2,NA,3,3
160,137,"Vaccinium myrtillus",NA,2,2,NA,2,5
160,144,"Lonicera spp.",NA,2,NA,NA,2,NA
160,2110,"Daphne laureola",NA,NA,1,NA,NA,3
160,4103,"Retama spp.",NA,10,NA,NA,7,NA
160,4104,"Cytisus spp.",NA,NA,3,NA,NA,2
162,102,"Erica spp.",5,4,1,3,2,2
162,103,"Other papilionoid shrubs (Ht>1.5m)",5,NA,NA,8,NA,NA
162,121,"Rubus spp.",NA,2,9,NA,1,1
162,137,"Vaccinium myrtillus",NA,2,NA,NA,2,NA
162,1555,NA,NA,NA,4,NA,NA,3
162,4103,"Retama spp.",NA,3,NA,NA,18,NA
168,102,"Erica spp.",65,NA,65,3,NA,2
168,103,"Other papilionoid shrubs (Ht>1.5m)",1,NA,NA,9,NA,NA
168,119,"Rosa spp.",25,5,2,4,3,3
168,121,"Rubus spp.",NA,5,1,NA,2,4
168,144,"Lonicera spp.",NA,4,2,NA,4,3
168,1102,"Erica arborea",NA,70,NA,NA,3,NA
168,4103,"Retama spp.",NA,4,NA,NA,4,NA
172,102,"Erica spp.",20,3,NA,3,2,NA
172,1167,"Cytisus scoparius",NA,NA,2,NA,NA,3
172,1189,"Cytisus striatus",NA,NA,2,NA,NA,7
172,2950,NA,NA,NA,1,NA,NA,3
172,3102,"Erica ciliaris",NA,NA,4,NA,NA,2
172,4103,"Retama spp.",NA,3,NA,NA,5,NA
173,115,"Viburnum spp.",NA,3,NA,NA,17,NA
173,119,"Rosa spp.",NA,5,2,NA,20,6
173,1167,"Cytisus scoparius",NA,NA,5,NA,NA,15
173,3115,NA,NA,NA,2,NA,NA,5
173,4103,"Retama spp.",NA,3,NA,NA,8,NA
173,4104,"Cytisus spp.",NA,3,NA,NA,12,NA
174,103,"Other papilionoid shrubs (Ht>1.5m)",20,NA,NA,15,NA,NA
174,113,"Phillyrea angustifolia",NA,NA,3,NA,NA,10
174,115,"Viburnum spp.",NA,5,NA,NA,14,NA
174,119,"Rosa spp.",20,8,8,20,22,22
174,121,"Rubus spp.",NA,3,1,NA,3,10
174,144,"Lonicera spp.",NA,5,1,NA,20,2
174,2950,NA,NA,NA,25,NA,NA,10
174,4103,"Retama spp.",NA,15,15,NA,4,5
175,103,"Other papilionoid shrubs (Ht>1.5m)",20,NA,NA,15,NA,NA
175,112,"Ligustrum vulgare",5,7,7,5,15,15
175,115,"Viburnum spp.",5,3,1,15,22,22
175,119,"Rosa spp.",30,30,25,15,20,20
175,121,"Rubus spp.",NA,5,2,NA,10,10
175,129,"Thymus spp.",NA,20,20,NA,1,1
175,131,"Ribes spp.",NA,3,1,NA,8,8
175,144,"Lonicera spp.",NA,5,5,NA,18,2
175,182,"Lithodora sp.",NA,NA,2,NA,NA,2
175,4103,"Retama spp.",NA,20,25,NA,20,15
175,4104,"Cytisus spp.",NA,10,NA,NA,5,NA
181,102,"Erica spp.",30,25,50,2,2,2
181,103,"Other papilionoid shrubs (Ht>1.5m)",40,NA,NA,8,NA,NA
181,119,"Rosa spp.",15,5,2,3,7,6
181,121,"Rubus spp.",NA,7,1,NA,2,4
181,122,"Rhamnus spp.",10,NA,NA,4,NA,NA
181,144,"Lonicera spp.",NA,7,5,NA,12,3
181,2110,"Daphne laureola",NA,5,5,NA,2,2
181,4103,"Retama spp.",NA,10,10,NA,12,12
184,102,"Erica spp.",10,7,15,5,3,2
184,106,"Calluna vulgaris",70,3,8,3,2,4
184,120,"Daboecia cantabrica",NA,3,3,NA,2,2
184,137,"Vaccinium myrtillus",NA,5,8,NA,2,2
184,144,"Lonicera spp.",NA,NA,1,NA,NA,2
184,1102,"Erica arborea",NA,NA,9,NA,NA,25
184,1167,"Cytisus scoparius",NA,NA,3,NA,NA,12
184,2102,"Erica australis",NA,7,NA,NA,20,NA
190,102,"Erica spp.",20,NA,5,2,NA,2
