"Estadillo","SpeciesID","SpeciesName","NtreesNFI2","NtreesNFI3","NtreesNFI4","AgeNFI3","AgeNFI4","SPdevelopmentNFI2","SPdevelopmentNFI2name","SPdevelopmentNFI3","SPdevelopmentNFI3name","SPdevelopmentNFI4","SPdevelopmentNFI4name","Origin1NFI3","Origin1NFI3_EN","Origin2NFI3","Origin2NFI3_EN","Origin1NFI4","Origin1NFI4_EN","Origin2NFI4","Origin2NFI4_EN","SPcoverNFI2","SPcoverNFI3","SPcoverNFI4","RegenerNFI2","RegenerNFI2_EN","RegenerNFI3","RegenerNFI3_EN","RegenerNFI4","RegenerNFI4_EN"
109,"43","Quercus pyrenaica",22,29,33,0,0,"3","Polewood",3,"Polewood",3,"Polewood",1,"Natural","4","Mixed: seed and sprout",1,"Natural",4,"Mixed: seed and sprout",90,80,90,2,"5–15 stems",3,">15 stems",3,">15 stems"
113,"43","Quercus pyrenaica",6,16,22,0,0,"3","Polewood",3,"Polewood",3,"Polewood",1,"Natural","4","Mixed: seed and sprout",1,"Natural",4,"Mixed: seed and sprout",0,100,100,3,">15 stems",3,">15 stems",3,">15 stems"
123,"42","Quercus petraea",41,41,49,0,0,"3","Polewood",4,"Old growth",4,"Old growth",1,"Natural","4","Mixed: seed and sprout",1,"Natural",4,"Mixed: seed and sprout",60,60,70,3,">15 stems",2,"5–15 stems",3,">15 stems"
123,"43","Quercus pyrenaica",2,NA,NA,0,NA,NA,NA,3,"Polewood",NA,NA,1,"Natural","4","Mixed: seed and sprout",NA,NA,NA,NA,NA,20,NA,3,">15 stems",NA,NA,NA,NA
123,"71","Fagus sylvatica",NA,2,3,NA,0,"0","0",NA,NA,3,"Polewood",NA,NA,NA,NA,1,"Natural",4,"Mixed: seed and sprout",0,NA,10,1,"1–4 stems",NA,NA,3,">15 stems"
125,"43","Quercus pyrenaica",9,22,25,0,0,"0","0",3,"Polewood",3,"Polewood",1,"Natural","4","Mixed: seed and sprout",1,"Natural",4,"Mixed: seed and sprout",70,90,100,3,">15 stems",NA,NA,NA,NA
125,"43","Quercus pyrenaica",9,22,25,0,0,"3","Polewood",3,"Polewood",3,"Polewood",1,"Natural","4","Mixed: seed and sprout",1,"Natural",4,"Mixed: seed and sprout",0,90,100,3,">15 stems",NA,NA,NA,NA
131,"15","Crataegus spp.",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,">15 stems",NA,NA,NA,NA
131,"215","Crataegus monogyna",NA,4,5,0,0,NA,NA,2,"Thicket",2,"Thicket",1,"Natural","4","Mixed: seed and sprout",1,"Natural",4,"Mixed: seed and sprout",NA,20,30,NA,NA,2,"5–15 stems",2,"5–15 stems"
131,"278","Sorbus aria",NA,2,3,0,0,NA,NA,3,"Polewood",3,"Polewood",1,"Natural","4","Mixed: seed and sprout",1,"Natural",4,"Mixed: seed and sprout",NA,20,10,NA,NA,3,">15 stems",NA,NA
131,"42","Quercus petraea",10,12,18,0,0,"4","Old growth",4,"Old growth",4,"Old growth",1,"Natural","4","Mixed: seed and sprout",1,"Natural",4,"Mixed: seed and sprout",40,40,40,3,">15 stems",1,"1–4 stems",NA,NA
