"Estadillo","lng","lat","ClaIFN3","SubclaseIFN3","ClaIFN4","SubclaseIFN4","IDCounty","County","Municipality","IDMunicipality","ProtectedArea","ProtectionStatus","PublicForest","Ownership","BoundMarkers","LegaDemarcated"
22,-4.898488,42.857966,"A","4","A","1",3405,"Guardo","Velilla del Río Carrión",34199,"","","Valdehaya","Ayto. de Velilla del Río Carrión","Sí","Sí"
23,-4.898212,42.848966,NA,NA,NA,NA,3405,"Guardo","Velilla del Río Carrión",34199,"","","Los Valles","E.L.M. de Valderrueda, E.L.M. de La Sota de Valderrueda","Sí","Sí"
24,-4.88538975,42.84937112,NA,NA,"A","1",3405,"Guardo","Velilla del Río Carrión",34199,"","","Valdehaya","Ayto. de Velilla del Río Carrión","Sí","Sí"
25,-4.861516,42.849569,"A","1",NA,NA,3405,"Guardo","Velilla del Río Carrión",34199,"Montaña Palentina","Parque Natural","Peña Lampas","Ayto. de Velilla del Río Carrión","Sí","Sí"
50,-4.56981941,42.92601198,NA,NA,"A","4",3406,"Cervera","Cervera de Pisuerga",34056,"Montaña Palentina","Parque Natural","Caldelaserias","E.L.M. de Resoba","No","No"
51,-4.54501,42.917313,"A","4","A","1",3406,"Cervera","Cervera de Pisuerga",34056,"Montaña Palentina","Parque Natural","Caldelaserias","E.L.M. de Resoba","No","No"
52,-4.777437,42.904935,"A","1","A","1",3405,"Guardo","Velilla del Río Carrión",34199,"Montaña Palentina","Parque Natural","Edillo","Ayto. de Velilla del Río Carrión","No","No"
53,-4.765193,42.905124,"A","1",NA,NA,3405,"Guardo","Velilla del Río Carrión",34199,"Montaña Palentina","Parque Natural","Edillo","Ayto. de Velilla del Río Carrión","No","No"
57,-4.569276,42.907978,"A","4C",NA,NA,3406,"Cervera","Cervera de Pisuerga",34056,"Montaña Palentina","Parque Natural","La Mata","E.L.M. de Resoba","No","No"
58,-4.72821,42.896684,"A","1",NA,NA,3405,"Guardo","Velilla del Río Carrión",34199,"Montaña Palentina","Parque Natural","Hoyos","Ayto. de Velilla del Río Carrión","No","No"
59,-4.715967,42.896868,"A","3E",NA,NA,3405,"Guardo","Velilla del Río Carrión",34199,"Montaña Palentina","Parque Natural","Hoyos","Ayto. de Velilla del Río Carrión","No","No"
60,-4.64260042,42.89766952,NA,NA,"A","1",3406,"Cervera","Cervera de Pisuerga",34056,"Montaña Palentina","Parque Natural","Canavigel","Ayto. de Cervera de Pisuerga","No","No"
