"Estadillo","lng","lat","ClaIFN3","SubclaseIFN3","ClaIFN4","SubclaseIFN4","Altitude_m","FuelModel","Aspect","Slope","Exposure","Stoniness","Texture","BioRigion","OrganicMatter","SoilpH","SoilType"
22,-4.898488,42.857966,"A","4","A","1",1574,5,290,63,"Shady slope","Stony","Loam texture","Atlantic","Highly humic","Moderately acidic (5 < pH < 6)","Siliceous soil"
23,-4.898212,42.848966,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24,-4.88538975,42.84937112,"A","1","A","1",1375,7,305,55,"Shady slope","Slightly stony","Clay texture","Atlantic","Highly humic","Moderately acidic (5 < pH < 6)","Siliceous soil"
25,-4.861516,42.849569,"A","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
50,-4.56981941,42.92601198,NA,NA,"A","4",1466,5,290,60,"Sunny slope","Stony","Loam texture","Atlantic","Moderately humic","Moderately acidic (5 < pH < 6)","Siliceous soil"
51,-4.54501,42.917313,"A","4","A","1",1254,7,395,20,"Sunny slope","Stony","Loam texture","Atlantic","Moderately humic","Moderately acidic (5 < pH < 6)","Siliceous soil"
52,-4.777437,42.904935,"A","1","A","1",1415,9,279,25,"Shady slope","Slightly stony","Loam texture","Atlantic","Highly humic","Moderately acidic (5 < pH < 6)","Siliceous soil"
53,-4.765193,42.905124,"A","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
57,-4.569276,42.907978,"A","4C",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
58,-4.72821,42.896684,"A","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
59,-4.715967,42.896868,"A","3E",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
60,-4.64260042,42.89766952,"A","1","A","1",1437,5,55,33,"Shady slope","Very stony","Loam texture","Atlantic","Highly humic","Moderately acidic (5 < pH < 6)","Siliceous soil"
62,-4.740199,42.887497,"A","4","A","1",1374,8,200,39,"Shady slope","Slightly stony","Loam texture","Atlantic","Moderately humic","Moderately acidic (5 < pH < 6)","Siliceous soil"
67,-4.544335,42.890308,"A","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
68,-4.85072573,42.87624031,NA,NA,"A","1",1442,7,247,49,"Sunny slope","Stony","Sandy texture","Atlantic","Moderately humic","Moderately acidic (5 < pH < 6)","Siliceous soil"
70,-4.764423,42.878121,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
71,-4.752185,42.878309,"A","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
73,-4.715468,42.878866,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
77,-4.8501191,42.8678215,NA,NA,"A","4C",1251,7,340,39,"Sunny slope","Very stony","Loam texture","Atlantic","Moderately humic","Moderately acidic (5 < pH < 6)","Siliceous soil"
79,-4.764167,42.86912,"A","4","A","1",1489,5,225,24,"Shady slope","Slightly stony","Loam texture","Atlantic","Moderately humic","Moderately acidic (5 < pH < 6)","Siliceous soil"
80,-4.75193,42.869308,"A","4","A","1",1851,5,24,26,"Shady slope","Very stony","Loam texture","Atlantic","Highly humic","Moderately acidic (5 < pH < 6)","Siliceous soil"
81,-4.715219,42.869864,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
82,-4.702981,42.870047,"A","4","A","1",1561,7,180,20,"Shady slope","Stony","Loam texture","Atlantic","Moderately humic","Moderately acidic (5 < pH < 6)","Siliceous soil"
89,-4.568364,42.871971,"A","4","A","1",1182,5,22,36,"Shady slope","Stony","Loam texture","Atlantic","Highly humic","Moderately acidic (5 < pH < 6)","Siliceous soil"
91,-4.543886,42.872304,"A","1","A","1",1199,6,175,62,"Shady slope","Very stony","Loam texture","Atlantic","Moderately humic","Moderately acidic (5 < pH < 6)","Siliceous soil"
92,-4.837318,42.858965,"A","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
