"Estadillo","lat","lng","ClaIFN3","SubclaseIFN3","ClaIFN4","SubclaseIFN4","SpeciesID","SpeciesName","DC","N_NFI2","V_NFI2","BA_NFI2","N_NFI3","V_NFI3","BA_NFI3","N_NFI4","V_NFI4","BA_NFI4"
22,42.857966,-4.898488,"A","4","A","1","43","Q. pyrenaica",45,5.09,3.1794504,0.8500909,0,0,0,0,0,0
22,42.857966,-4.898488,"A","4","A","1","43","Q. pyrenaica",50,5.09,4.0145022,1.0878576,5.09296,4.4992,1.002,0,0,0
22,42.857966,-4.898488,"A","4","A","1","43","Q. pyrenaica",55,10.18,11.5714111,2.5743454,0,0,0,5.09296248078203,7.26652627337016,1.2996
22,42.857966,-4.898488,"A","4","A","1","43","Q. pyrenaica",65,5.09,3.7520156,1.7849106,0,0,0,0,0,0
22,42.857966,-4.898488,"A","4","A","1","43","Q. pyrenaica",70,30.55,69.1003271,23.8931356,10.1859,28.8129,6.55644,10.1859249615641,30.8473529946821,6.904404
22,42.857966,-4.898488,"A","4","A","1","71","Fagus sylvatica",20,31.83,4.4069573,0.9457563,95.493,12.9746,3.29321,95.493046514663,10.9012574178194,2.8459625
22,42.857966,-4.898488,"A","4","A","1","71","Fagus sylvatica",25,14.14,4.1426603,0.774394,70.7356,15.9939,3.47929,42.4413540065169,9.43233269984493,2.20680555555556
22,42.857966,-4.898488,"A","4","A","1","71","Fagus sylvatica",30,28.29,10.567799,1.8960092,0,0,0,28.2942360043446,11.7790586583004,1.98260277777778
22,42.857966,-4.898488,"A","4","A","1","71","Fagus sylvatica",35,56.58,28.1708348,5.2546612,56.5885,26.0466,5.23663,42.4413540065169,21.0352022266459,4.59659444444444
22,42.857966,-4.898488,"A","4","A","1","71","Fagus sylvatica",40,14.14,7.7462421,1.9043856,0,0,0,14.1471180021723,8.26091202849421,1.7424
22,42.857966,-4.898488,"A","4","A","1","71","Fagus sylvatica",45,10.18,6.8275056,1.4809929,10.1859,9.46827,1.51914,5.09296248078203,4.20824582204402,0.790321
