"Estadillo","lat","lng","ClaIFN3","SubclaseIFN3","ClaIFN4","SubclaseIFN4","IdDamageNFI4","DamageNFI4","TreesDamNFI4","TotalTreesNFI4","PercentageDamageNFI4"
22,42.857966,-4.898488,"A","4","A","1",100,"No damage observed",10,26,38.46
22,42.857966,-4.898488,"A","4","A","1",200,"Unknown causes",2,26,7.69
22,42.857966,-4.898488,"A","4","A","1",310,"Fungi",10,26,38.46
22,42.857966,-4.898488,"A","4","A","1",316,"Competition",3,26,11.54
22,42.857966,-4.898488,"A","4","A","1",411,"Wind",1,26,3.85
24,42.84937112,-4.88538975,"A","1","A","1",100,"No damage observed",11,12,91.67
24,42.84937112,-4.88538975,"A","1","A","1",316,"Competition",1,12,8.33
50,42.92601198,-4.56981941,NA,NA,"A","4",100,"No damage observed",7,28,25
50,42.92601198,-4.56981941,NA,NA,"A","4",200,"Unknown causes",12,28,42.86
50,42.92601198,-4.56981941,NA,NA,"A","4",310,"Fungi",4,28,14.29
50,42.92601198,-4.56981941,NA,NA,"A","4",316,"Competition",5,28,17.86
51,42.917313,-4.54501,"A","4","A","1",100,"No damage observed",59,65,90.77
51,42.917313,-4.54501,"A","4","A","1",200,"Unknown causes",1,65,1.54
51,42.917313,-4.54501,"A","4","A","1",316,"Competition",5,65,7.69
52,42.904935,-4.777437,"A","1","A","1",100,"No damage observed",14,27,51.85
52,42.904935,-4.777437,"A","1","A","1",200,"Unknown causes",2,27,7.41
52,42.904935,-4.777437,"A","1","A","1",300,"Biotic damage",3,27,11.11
52,42.904935,-4.777437,"A","1","A","1",316,"Competition",7,27,25.93
52,42.904935,-4.777437,"A","1","A","1",400,"Abiotic damage",1,27,3.7
60,42.89766952,-4.64260042,"A","1","A","1",100,"No damage observed",7,25,28
60,42.89766952,-4.64260042,"A","1","A","1",200,"Unknown causes",8,25,32
60,42.89766952,-4.64260042,"A","1","A","1",300,"Biotic damage",9,25,36
60,42.89766952,-4.64260042,"A","1","A","1",316,"Competition",1,25,4
62,42.887497,-4.740199,"A","4","A","1",100,"No damage observed",56,57,98.25
62,42.887497,-4.740199,"A","4","A","1",200,"Unknown causes",1,57,1.75
68,42.87624031,-4.85072573,NA,NA,"A","1",100,"No damage observed",1,2,50
68,42.87624031,-4.85072573,NA,NA,"A","1",200,"Unknown causes",1,2,50
77,42.8678215,-4.8501191,NA,NA,"A","4C",100,"No damage observed",7,7,100
79,42.86912,-4.764167,"A","4","A","1",100,"No damage observed",42,51,82.35
79,42.86912,-4.764167,"A","4","A","1",200,"Unknown causes",2,51,3.92
79,42.86912,-4.764167,"A","4","A","1",316,"Competition",2,51,3.92
79,42.86912,-4.764167,"A","4","A","1",322,"Human activity",4,51,7.84
79,42.86912,-4.764167,"A","4","A","1",411,"Wind",1,51,1.96
80,42.869308,-4.75193,"A","4","A","1",100,"No damage observed",1,3,33.33
80,42.869308,-4.75193,"A","4","A","1",200,"Unknown causes",1,3,33.33
80,42.869308,-4.75193,"A","4","A","1",400,"Abiotic damage",1,3,33.33
82,42.870047,-4.702981,"A","4","A","1",100,"No damage observed",63,65,96.92
82,42.870047,-4.702981,"A","4","A","1",300,"Biotic damage",1,65,1.54
82,42.870047,-4.702981,"A","4","A","1",316,"Competition",1,65,1.54
89,42.871971,-4.568364,"A","4","A","1",100,"No damage observed",35,44,79.55
89,42.871971,-4.568364,"A","4","A","1",200,"Unknown causes",2,44,4.55
89,42.871971,-4.568364,"A","4","A","1",316,"Competition",7,44,15.91
91,42.872304,-4.543886,"A","1","A","1",100,"No damage observed",1,5,20
91,42.872304,-4.543886,"A","1","A","1",310,"Fungi",4,5,80
95,42.860863,-4.714969,"A","4C","A","1",100,"No damage observed",27,35,77.14
95,42.860863,-4.714969,"A","4C","A","1",400,"Abiotic damage",1,35,2.86
95,42.860863,-4.714969,"A","4C","A","1",411,"Wind",7,35,20
100,42.86246,-4.604846,"A","4","A","4",100,"No damage observed",51,56,91.07
100,42.86246,-4.604846,"A","4","A","4",316,"Competition",4,56,7.14
100,42.86246,-4.604846,"A","4","A","4",413,"Lightning",1,56,1.79
102,42.86262983,-4.56755122,"A","1","A","1",100,"No damage observed",23,33,69.7
102,42.86262983,-4.56755122,"A","1","A","1",200,"Unknown causes",1,33,3.03
102,42.86262983,-4.56755122,"A","1","A","1",300,"Biotic damage",4,33,12.12
102,42.86262983,-4.56755122,"A","1","A","1",310,"Fungi",1,33,3.03
102,42.86262983,-4.56755122,"A","1","A","1",316,"Competition",4,33,12.12
103,42.863136,-4.555899,"A","3E","A","1",100,"No damage observed",32,43,74.42
103,42.863136,-4.555899,"A","3E","A","1",200,"Unknown causes",3,43,6.98
103,42.863136,-4.555899,"A","3E","A","1",300,"Biotic damage",1,43,2.33
103,42.863136,-4.555899,"A","3E","A","1",316,"Competition",7,43,16.28
