"Estadillo","lat","lng","ClaIFN3","SubclaseIFN3","ClaIFN4","SubclaseIFN4","Quality","VCC_m3_ha_IFN2","VCC_total_IFN2","Porc_VCC_IFN2","VCC_m3_ha_IFN3","VCC_total_IFN3","Porc_VCC_IFN3","VCC_m3_ha_IFN4","VCC_total_IFN4","Porc_VCC_IFN4"
22,42.857966,-4.898488,"A","4","A","1",2,58.859660235311,158.222916976632,37.2004646103221,74.086820602721,131.313630356582,56.4197489640171,57.7029931022784,142.089501404748,40.6103142961343
22,42.857966,-4.898488,"A","4","A","1",3,17.684566057221,158.222916976632,11.1769940759169,37.7073364287854,131.313630356582,28.7154778421639,57.2957126620739,142.089501404748,40.3236777493255
22,42.857966,-4.898488,"A","4","A","1",4,35.045288835583,158.222916976632,22.149312820948,19.5194733250758,131.313630356582,14.864773193819,27.0907956403957,142.089501404748,19.0660079545402
22,42.857966,-4.898488,"A","4","A","1",5,46.6334018485165,158.222916976632,29.473228492813,NA,NA,NA,NA,NA,NA
23,42.848966,-4.898212,NA,NA,NA,NA,2,123.02883304615,186.209556337155,66.0700962218026,NA,NA,NA,NA,NA,NA
23,42.848966,-4.898212,NA,NA,NA,NA,3,29.1846820233502,186.209556337155,15.673031286594,NA,NA,NA,NA,NA,NA
23,42.848966,-4.898212,NA,NA,NA,NA,4,33.9960412676549,186.209556337155,18.2568724916034,NA,NA,NA,NA,NA,NA
24,42.84937112,-4.88538975,"A","1","A","1",2,3.41759660624449,3.41759660624449,100,5.94221036998961,5.94221036998961,100,34.806132669093,38.3596509349578,90.7363122988524
24,42.84937112,-4.88538975,"A","1","A","1",3,NA,NA,NA,NA,NA,NA,3.55351826586483,38.3596509349578,9.26368770114759
25,42.849569,-4.861516,"A","1",NA,NA,3,2.74904068512241,2.74904068512241,100,3.0112013373823,3.0112013373823,100,NA,NA,NA
50,42.92601198,-4.56981941,NA,NA,"A","4",2,NA,NA,NA,NA,NA,NA,22.0942230843773,71.715278529034,30.808251097334
50,42.92601198,-4.56981941,NA,NA,"A","4",3,NA,NA,NA,NA,NA,NA,41.4972707089316,71.715278529034,57.8639190422043
50,42.92601198,-4.56981941,NA,NA,"A","4",4,NA,NA,NA,NA,NA,NA,6.29251605716534,71.715278529034,8.77430330918649
50,42.92601198,-4.56981941,NA,NA,"A","4",5,NA,NA,NA,NA,NA,NA,1.83126867855983,71.715278529034,2.55352655127518
51,42.917313,-4.54501,"A","4","A","1",2,NA,NA,NA,82.9251902364745,83.991749898871,98.7301613983746,224.63490749385,239.76269900671,93.6905150069084
