"Estadillo","lat","lng","ClaIFN3","SubclaseIFN3","ClaIFN4","SubclaseIFN4","Stem_NFI2","BranchesOver7cm_NFI2","Branches7to2cm_NFI2","BranchesUnder2cmLeaves_NFI2","Roots_NFI2","TotalC_NFI2","Stem_NFI3","BranchesOver7cm_NFI3","Branches7to2cm_NFI3","BranchesUnder2cmLeaves_NFI3","Roots_NFI3","TotalC_NFI3","Stem_NFI4","BranchesOver7cm_NFI4","Branches7to2cm_NFI4","BranchesUnder2cmLeaves_NFI4","Roots_NFI4","TotalC_NFI4"
22,42.857966,-4.898488,"A","4","A","1",85.3115217450028,5.51267698488662,14.0199448701509,7.09006140512956,36.3650858991011,148.299290904271,57.5550640472296,5.30073813586038,13.0611849502731,8.91008184789938,26.7979030998182,111.624972081081,69.5414168865657,8.40435185833775,15.3882824356417,10.0361703123209,29.7364365459408,133.106658038807
23,42.848966,-4.898212,"A","3C",NA,NA,78.6375400360447,16.8845689225846,18.6652255747402,13.4565984017937,26.2225477875511,153.866480722714,85.3061524927463,18.3340343817742,20.9110833910735,15.6338510541566,29.5660645173706,169.751185837121,0,0,0,0,0,0
24,42.84937112,-4.88538975,"A","1","A","1",1.39150496573213,0.156450186179908,0.458241967925093,0.413864241990933,0.613303643940149,3.03336500576821,2.32581948256429,0.245130188702228,0.719248530651498,0.631993628369125,0.962630609205288,4.88482243949243,13.5909610349028,0.516424934553284,3.50003700377073,3.15619568493044,6.1226375080939,26.8862561662511
25,42.849569,-4.861516,"A","1",NA,NA,1.89504388138837,0,0.165572308747803,0.127452806315443,1.29785093409261,3.48591993054423,2.2315679294033,0,0.210063941499836,0.134089440118421,1.43842332163476,4.01414463265632,0,0,0,0,0,0
50,42.92601198,-4.56981941,NA,NA,"A","4",0,0,0,0,0,0,0,0,0,0,0,0,19.7707171781264,0.199147279292169,5.43494942671037,5.28344525876778,16.9227535192911,47.6110126621878
51,42.917313,-4.54501,"A","4","A","1",0,0,0,0,0,0,19.2979217793851,0,7.59246857610666,18.443002373608,23.9682202884377,69.3016130175374,56.4967151680742,0,11.6140040143665,20.3179200136647,42.9726365104667,131.401275706572
52,42.904935,-4.777437,"A","1","A","1",25.3629680868881,4.61430346402027,6.15721275955267,4.73318644519646,8.24071404687604,49.1083848025335,36.2041676764848,5.96673912271546,9.32142739067015,9.56541516477484,17.8821639269588,78.939913281604,48.0703734913802,6.9297862778414,10.6183166856097,7.93741009449301,15.5899830385768,89.1458695879011
53,42.905124,-4.765193,"A","1",NA,NA,12.7590144829718,0,1.85486716071377,1.69988571260645,6.96742683205233,23.2811941883444,16.6150904918737,0,3.39897026121397,3.12203983186443,9.82182976037382,32.9579303453259,0,0,0,0,0,0
57,42.907978,-4.569276,"A","4C",NA,NA,0,0,0,0,0,0,0.837754967052343,0,0.19085419279768,0.48739609772462,0.979212723993618,2.49521798156826,0,0,0,0,0,0
58,42.896684,-4.72821,"A","1",NA,NA,13.8339667860309,0,4.00701868288187,10.7753852898774,15.6364666481723,44.2528374069625,33.709972687328,0,5.88823811035611,12.7667792454309,26.896892846903,79.261882890018,0,0,0,0,0,0
59,42.896868,-4.715967,"A","3E",NA,NA,0,0,0,0,0,0,11.4514091993374,0,5.2281001249557,15.4356727543312,16.88517997408,49.0003620527042,0,0,0,0,0,0
60,42.89766952,-4.64260042,"A","1","A","1",25.6408731879493,2.83972295631127,8.214570329642,7.33257004313466,10.9942481684603,55.0219846854974,23.9023560183809,3.00569421560012,7.43590219225483,6.5515768505747,9.95209131791681,50.8476205947274,35.6441202113519,4.11630186796262,11.0835602273937,9.79452124196118,15.1096051196763,75.7481086683456
62,42.887497,-4.740199,"A","4","A","1",9.53351494051167,0,3.63509712013461,9.93828870519862,12.351068559338,35.4579693251829,30.8799715502343,0,6.01810305624851,11.0336775813579,23.4613159327186,71.3930681205592,76.9532404230636,0,7.3349941849827,10.8336038577384,37.2309707854403,132.352809251225
67,42.890308,-4.544335,"A","1",NA,NA,7.42434909912592,0,1.0287337993027,2.38490233866105,6.93224446297723,17.7702297000669,25.8438867288303,0,4.86385361048419,3.34138340422992,13.1156190997674,47.1647428433118,0,0,0,0,0,0
68,42.87624031,-4.85072573,NA,NA,"A","1",0,0,0,0,0,0,0,0,0,0,0,0,0.130172978393572,0.000208948728021344,0.418193508337213,0.268366479913123,0.771848096521376,1.5887900118933
70,42.878121,-4.764423,"A","3C",NA,NA,19.9622534137106,0,6.55719913469714,15.6928303467697,22.3179694569161,64.5302523520935,51.0446055434068,0,8.84669256508592,15.7437058849236,35.7685598963947,111.403563889811,0,0,0,0,0,0
71,42.878309,-4.752185,"A","1",NA,NA,45.4016963783624,0,6.49067664721184,11.7748277826522,29.8340287081995,93.5012295164261,48.5091426767694,0,6.19568499367992,9.49239279562843,27.3489190132204,91.5461394792982,0,0,0,0,0,0
73,42.878866,-4.715468,"A","3C",NA,NA,1.0994633553313,0,0.664842451585676,2.45105710974379,2.10503579846463,6.32039871512539,10.2589364693751,0,3.38390435005066,8.25292073300775,11.2112233154447,33.1069848678782,0,0,0,0,0,0
77,42.8678215,-4.8501191,NA,NA,"A","4C",0,0,0,0,0,0,0,0,0,0,0,0,3.86547814506348,0,1.66878280832856,3.98464191353398,4.82147795479281,14.3403808217188
79,42.86912,-4.764167,"A","4","A","1",11.1776793244899,0,4.33368301525299,11.5942506309465,14.0543742039719,41.1599871746613,34.0518586311397,0,5.8381924871212,10.7282363413412,24.4015610720261,75.0198485316282,72.9773804657826,0,6.75419039773873,9.90528290970868,34.5109113025139,124.147765075744
80,42.869308,-4.75193,"A","4","A","1",0,0,0,0,0,0,0.104352266079244,0,0.235992446647221,0.832719407305122,0.352358301046798,1.52542242107838,0.751163511533586,0,0.937001319450198,2.51499754326985,1.5808585070847,5.78402088133834
81,42.869864,-4.715219,"A","3C",NA,NA,16.2623296949786,0,6.0530392015302,19.2729456911799,23.0625467681847,64.6508613558734,49.3971816542574,0,9.82641619668703,21.6145574694955,42.3542299876895,123.192385308129,0,0,0,0,0,0
82,42.870047,-4.702981,"A","4","A","1",7.87342588694178,0,4.10175160258357,12.3687002671272,12.47413870007,36.8180164567225,32.7874103447958,0,7.70919516853739,15.8127093360599,28.9207037433218,85.2300185927149,81.5690863538757,0,9.55002421735861,15.4512869268956,45.6829124295733,152.253309927703
89,42.871971,-4.568364,"A","4","A","1",15.8433636695787,0,3.83345776185804,5.19526297636012,12.7364452244561,37.608529632253,20.6690872604226,0,4.12041350730628,4.88768031017955,14.1242442408125,43.8014253187209,48.3131215381207,0,9.27937457941009,7.12463839987422,25.5786016749464,90.2957361923514
91,42.872304,-4.543886,"A","1","A","1",0,0,0,0,0,0,2.58733243918346,0.0305236060394446,0.433630348323492,0.572857270941848,2.51094568212362,6.13528934661187,9.3308590952375,1.87220809966107,1.4419359595785,1.32928629885194,5.89962933389781,19.8739187872268
92,42.858965,-4.837318,"A","1",NA,NA,27.2883757672814,0,6.2767464445901,13.7409015200335,24.628389404276,71.934413136181,46.0681897669756,0,7.12459280170484,12.8594543174974,31.2415084180894,97.2937453042672,0,0,0,0,0,0
93,42.860494,-4.73944,"A","1",NA,NA,1.34811405933247,0,0.773236907268203,2.43221501627049,2.30003004741667,6.85359603028783,8.11294693996427,0,4.28961493153816,11.6211157949082,11.4788405396557,35.5025182060663,0,0,0,0,0,0
95,42.860863,-4.714969,"A","4C","A","1",0,0,0,0,0,0,1.15373487261575,0.514074842947757,0,2.27145934780753,2.61784814482631,6.55711720819735,17.5671594992917,5.54625380222038,0,18.2464139076728,28.2434560376922,69.603283246877
96,42.861046,-4.702734,"A","4",NA,NA,0.328324297174996,0,0.233704377213203,0.887453912518435,0.692892185596583,2.14237477250322,5.54416517609232,1.58216221772748,1.1984188591424,10.5790783411552,11.5021091161229,30.4059337102403,0,0,0,0,0,0
100,42.86246,-4.604846,"A","4","A","4",62.2825908898563,1.38966683471506,17.4201888896911,15.0339992187969,27.1972658105211,123.32371164358,53.823784825829,2.10100218973401,14.0882122160001,11.3525514851598,18.8554355416163,100.220986258339,99.061185377524,7.97136194465099,23.450576476176,17.7211478259282,31.3858725564981,179.590144180777
102,42.86262983,-4.56755122,"A","1","A","1",56.3203776506442,7.34608772495135,14.6596543225854,11.7741128446215,19.620244421642,109.720476964444,67.1254046008339,7.69736837804624,15.3576813750405,11.3260255056293,20.5544725474027,122.060952406953,83.5698550829452,9.07206239083913,17.008897090225,11.4656665504779,23.1177137732909,144.234194887778
103,42.863136,-4.555899,"A","3E","A","1",15.4253162082592,0.0988299781572746,5.0763154420345,4.58340443335215,6.79405854615728,31.9779246079604,93.4208594645545,9.78658572256178,20.3035283905736,17.0814854539337,40.3709476001929,180.963406631816,97.3108193058527,14.2829439205609,18.5771106836177,14.9793317672723,38.6245195436423,183.774725220946
104,42.863302,-4.543662,"A","4","A","1",18.5700827797764,0.633686228456512,6.72234765250936,6.94959228921751,11.6456918621179,44.5214008120777,35.6480262389375,0.0385906742523241,11.5774315360556,10.5306664970687,16.0813925466566,73.8761074929707,50.9428043679683,0.25242851497167,13.8934645787584,11.8082091911536,19.9429028723998,96.8398095252518
105,42.849767,-4.849284,"A","1",NA,NA,0,0,0,0,0,0,3.70243849857779,0,1.88158592700169,5.85467586226958,5.8544155076833,17.2931157955324,0,0,0,0,0,0
106,42.849964,-4.837051,"A","1",NA,NA,2.1417182435513,0,0.520836911563061,1.04263774921231,1.72245437161204,5.42764727593871,12.613595867776,0.0564642146706401,2.91914124536552,3.88688891647711,9.15646108154629,28.6325513258355,0,0,0,0,0,0
107,42.851306,-4.751421,"A","1",NA,NA,6.35123850388444,0,3.93464089982802,11.9294942888551,10.954121856211,33.1694955487786,38.4405610234406,0,8.68371080711126,17.369036244587,32.7147730111083,97.2080810862471,0,0,0,0,0,0
108,42.852406,-4.678019,"A","1","A","1",4.00100844936622,1.71544327805895,1.71544327805895,2.37067017313329,1.68078287978501,11.4833480584024,24.0594336676153,7.11039293708334,7.11039293708334,9.82626279213053,9.18069836396112,57.2871806978736,66.1200031755924,12.5967850872293,12.5967850872293,17.4082250725625,19.490514346662,128.212312769275
112,42.834223,-4.689762,"A","1",NA,NA,2.84552745954672,0,0.389689519419389,0.594431687408084,2.16446978484941,5.99411845122361,9.0316324066802,0,1.55613218995341,1.72748119207018,5.92413519615431,18.2393809848581,0,0,0,0,0,0
128,42.94497,-4.496672,"A","4","A","1",46.801355690841,1.22773076202615,8.35234275617253,7.71693177688031,23.0262859429233,87.1246469288432,85.5203518573258,6.57771979936996,14.2323554158175,11.0353955551869,32.0238487015608,149.389671329261,125.907439435458,9.97590741758907,21.1453714962488,10.1929530684322,39.7675640738133,206.989235491541
129,42.94513,-4.484419,"A","1",NA,NA,28.6513846947654,0,4.46086378096324,6.95064833774811,21.2030044681307,61.2659012816075,39.5233407483206,0,6.18295938973254,8.20417683987056,26.6125006320953,80.522977610019,0,0,0,0,0,0
144,42.918438,-4.459274,"A","1",NA,NA,68.9370981608563,42.6382473923011,11.6390739024065,9.58724492140031,46.5372534676051,179.338917844569,86.6668396440384,63.5756832087428,14.1402150757711,10.6951426897851,48.871813637298,223.949694255635,0,0,0,0,0,0
145,42.918594,-4.447025,"A","1",NA,NA,53.2053618382873,0,7.89237887737405,6.71850430113449,29.7394367510156,97.5556817678114,70.644595771161,0,11.4927592404724,5.4072941218136,30.5084063012975,118.053055434745,0,0,0,0,0,0
146,42.918901,-4.422528,"A","4","A","1",2.6860175671113,0,0.185288526444405,0.93482697452826,2.93580037006424,6.74193343814821,35.2686703807359,30.321331514649,5.07640116606995,4.20217564661008,22.3250781882092,97.1936568962742,36.2526355706608,25.6082665062597,5.51454235718136,4.98388984558969,25.7385515354264,98.0978858151179
147,42.919053,-4.410279,"A","4","A","1",32.6008560492302,6.17944295644956,6.49087878034275,6.65871145895009,28.6101471368694,80.540036381842,48.7575221991387,6.97353078246795,8.04562183779127,6.952612683374,24.7870158960457,95.5163033988177,59.2650927870789,10.7913431853477,9.42498978266961,7.36938192149122,26.4456503037631,113.29645798035
152,42.908962,-4.4958,"A","1",NA,NA,16.5072695602316,0,2.64220385057402,2.49245748081429,9.79446131791215,31.4363922095321,31.570516577529,0,6.28257110952313,4.01379667766502,16.1447284806108,58.011612845328,0,0,0,0,0,0
157,42.911631,-4.275352,"A","4","A","4",12.7354222202495,0,3.53247493268077,4.58541784006889,10.6571914126877,31.5105064056869,17.3799143107747,0,2.87543981980852,4.28364415247235,13.0616166781239,37.6006149611795,89.6377451754703,0,16.3547345508402,9.49037508975287,41.5277516090203,157.010606425084
159,42.899799,-4.507827,"A","1",NA,NA,15.2759405711503,0,3.55709142622566,3.36669629057338,10.065574716442,32.2653030043913,29.3913824949556,0,6.14935303652878,5.63160482092325,17.7254300565007,58.8977704089082,0,0,0,0,0,0
163,42.890797,-4.507608,"A","4C",NA,NA,0,0,0,0,0,0,5.18809745476576,0,1.7351419904077,2.46709897005381,4.9716240207504,14.3619624359777,0,0,0,0,0,0
166,42.893625,-4.27498,"A","1",NA,NA,0,0,0,0,0,0,0.638045800657685,0,0.230323940684412,0.287370165246726,0.58263441567081,1.73837432225963,0,0,0,0,0,0
169,42.882273,-4.470666,NA,NA,NA,NA,0.463930641066589,0,0.0585211830502344,0.164709450605802,0.462153129031851,1.14931440375448,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
170,42.885025,-4.238067,"A","3E","A","1",0,0,0,0,0,0,55.2096412426531,12.7277219377783,10.566630505465,8.5523370041915,31.0654362877154,118.121766977803,64.9620997546807,22.5266881242431,11.2407412044148,7.66882366792719,29.3292586053371,135.727611356603
