"Estadillo","lat","lng","ClaIFN3","SubclaseIFN3","ClaIFN4","SubclaseIFN4","SpeciesID","SpeciesName","CanopySHRNFI2","HmSHRNFI2","CanopySHRNFI3","HmSHRNFI3","CanopySHRNFI4","HmSHRNFI4"
22,42.857966,-4.898488,"A","4","A","1",102,"Erica spp.",10,4,NA,NA,NA,NA
22,42.857966,-4.898488,"A","4","A","1",104,"Other papilionoid shrubs (Ht<1.5m)",70,14,NA,NA,NA,NA
22,42.857966,-4.898488,"A","4","A","1",119,"Rosa spp.",10,15,NA,NA,NA,NA
22,42.857966,-4.898488,"A","4","A","1",2110,"Daphne laureola",NA,NA,NA,NA,8,3
22,42.857966,-4.898488,"A","4","A","1",4104,"Cytisus spp.",NA,NA,NA,NA,3,6
24,42.84937112,-4.88538975,"A","1","A","1",102,"Erica spp.",50,15,NA,NA,40,18
24,42.84937112,-4.88538975,"A","1","A","1",103,"Other papilionoid shrubs (Ht>1.5m)",30,18,NA,NA,NA,NA
24,42.84937112,-4.88538975,"A","1","A","1",119,"Rosa spp.",10,14,10,15,3,5
24,42.84937112,-4.88538975,"A","1","A","1",1101,"Cistus ladanifer",NA,NA,60,15,NA,NA
24,42.84937112,-4.88538975,"A","1","A","1",3121,"Rubus ulmifolius",NA,NA,5,8,NA,NA
24,42.84937112,-4.88538975,"A","1","A","1",4104,"Cytisus spp.",NA,NA,20,18,8,12
25,42.849569,-4.861516,"A","1",NA,NA,102,"Erica spp.",30,6,NA,NA,NA,NA
25,42.849569,-4.861516,"A","1",NA,NA,104,"Other papilionoid shrubs (Ht<1.5m)",20,4,NA,NA,NA,NA
25,42.849569,-4.861516,"A","1",NA,NA,106,"Calluna vulgaris",10,3,15,6,NA,NA
25,42.849569,-4.861516,"A","1",NA,NA,107,"Arctostaphylos uva-ursi",10,2,16,2,NA,NA
25,42.849569,-4.861516,"A","1",NA,NA,117,"Halimium spp.",5,3,8,4,NA,NA
25,42.849569,-4.861516,"A","1",NA,NA,136,"Chamaespartium tridentatum",NA,NA,10,3,NA,NA
25,42.849569,-4.861516,"A","1",NA,NA,2102,"Erica australis",NA,NA,20,8,NA,NA
25,42.849569,-4.861516,"A","1",NA,NA,4104,"Cytisus spp.",NA,NA,2,5,NA,NA
50,42.92601198,-4.56981941,NA,NA,"A","4",102,"Erica spp.",60,5,NA,NA,NA,NA
50,42.92601198,-4.56981941,NA,NA,"A","4",103,"Other papilionoid shrubs (Ht>1.5m)",20,10,NA,NA,NA,NA
50,42.92601198,-4.56981941,NA,NA,"A","4",117,"Halimium spp.",NA,NA,10,3,NA,NA
50,42.92601198,-4.56981941,NA,NA,"A","4",119,"Rosa spp.",NA,NA,NA,NA,1,3
50,42.92601198,-4.56981941,NA,NA,"A","4",120,"Daboecia cantabrica",NA,NA,5,2,NA,NA
50,42.92601198,-4.56981941,NA,NA,"A","4",1102,"Erica arborea",NA,NA,NA,NA,22,15
50,42.92601198,-4.56981941,NA,NA,"A","4",1555,"Genista florida",NA,NA,NA,NA,7,20
50,42.92601198,-4.56981941,NA,NA,"A","4",4104,"Cytisus spp.",NA,NA,15,4,NA,NA
51,42.917313,-4.54501,"A","4","A","1",102,"Erica spp.",60,10,NA,NA,NA,NA
51,42.917313,-4.54501,"A","4","A","1",106,"Calluna vulgaris",20,3,NA,NA,NA,NA
51,42.917313,-4.54501,"A","4","A","1",136,"Chamaespartium tridentatum",NA,NA,NA,NA,1,2
51,42.917313,-4.54501,"A","4","A","1",1102,"Erica arborea",NA,NA,70,12,NA,NA
51,42.917313,-4.54501,"A","4","A","1",2102,"Erica australis",NA,NA,15,12,27,14
52,42.904935,-4.777437,"A","1","A","1",104,"Other papilionoid shrubs (Ht<1.5m)",15,20,NA,NA,NA,NA
