"Estadillo","lat","lng","ClaIFN3","SubclaseIFN3","ClaIFN4","SubclaseIFN4","SpeciesID","SpeciesName","NtreesNFI2","NtreesNFI3","NtreesNFI4","AgeNFI3","AgeNFI4","SPdevelopmentNFI2","SPdevelopmentNFI2name","SPdevelopmentNFI3","SPdevelopmentNFI3name","SPdevelopmentNFI4","SPdevelopmentNFI4name","Origin1NFI3","Origin1NFI3_EN","Origin2NFI3","Origin2NFI3_EN","Origin1NFI4","Origin1NFI4_EN","Origin2NFI4","Origin2NFI4_EN","SPcoverNFI2","SPcoverNFI3","SPcoverNFI4","RegenerNFI2","RegenerNFI2_EN","RegenerNFI3","RegenerNFI3_EN","RegenerNFI4","RegenerNFI4_EN"
22,42.857966,-4.898488,"A","4","A","1","43","Quercus pyrenaica",11,3,3,0,0,NA,NA,4,"Old growth",4,"Old growth",1,"Natural","4","Mixed: seed and sprout",1,"Natural",4,"Mixed: seed and sprout",NA,20,20,3,">15 stems",NA,NA,NA,NA
22,42.857966,-4.898488,"A","4","A","1","71","Fagus sylvatica",12,19,20,0,0,"4","Old growth",4,"Old growth",4,"Old growth",1,"Natural","4","Mixed: seed and sprout",1,"Natural",4,"Mixed: seed and sprout",60,80,80,2,"5–15 stems",2,"5–15 stems",1,"1–4 stems"
23,42.848966,-4.898212,NA,NA,NA,NA,"71","Fagus sylvatica",35,40,NA,NA,NA,"4","Old growth",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,90,NA,NA,1,"1–4 stems",NA,NA,NA,NA
24,42.84937112,-4.88538975,"A","1","A","1","71","Fagus sylvatica",1,2,9,0,0,"4","Old growth",4,"Old growth",3,"Polewood",1,"Natural","4","Mixed: seed and sprout",1,"Natural",4,"Mixed: seed and sprout",80,80,80,1,"1–4 stems",1,"1–4 stems",1,"1–4 stems"
25,42.849569,-4.861516,"A","1",NA,NA,"38","Juniperus thurifera",NA,NA,NA,0,NA,NA,NA,3,"Polewood",NA,NA,1,"Natural","4","Mixed: seed and sprout",NA,NA,NA,NA,NA,40,NA,1,"1–4 stems",2,"5–15 stems",NA,NA
25,42.849569,-4.861516,"A","1",NA,NA,"43","Quercus pyrenaica",1,1,NA,0,NA,"4","Old growth",4,"Old growth",NA,NA,1,"Natural","4","Mixed: seed and sprout",NA,NA,NA,NA,50,50,NA,3,">15 stems",2,"5–15 stems",NA,NA
50,42.92601198,-4.56981941,NA,NA,"A","4","42","Quercus petraea",NA,NA,28,NA,0,"3","Polewood",NA,NA,3,"Polewood",NA,NA,NA,NA,1,"Natural",4,"Mixed: seed and sprout",50,NA,90,3,">15 stems",NA,NA,3,">15 stems"
50,42.92601198,-4.56981941,NA,NA,"A","4","43","Quercus pyrenaica",NA,NA,NA,0,30,NA,NA,2,"Thicket",2,"Thicket",1,"Natural","4","Mixed: seed and sprout",1,"Natural",4,"Mixed: seed and sprout",NA,100,10,3,">15 stems",3,">15 stems",NA,NA
51,42.917313,-4.54501,"A","4","A","1","21","Pinus sylvestris",NA,41,61,20,0,"2","Thicket",3,"Polewood",4,"Old growth",2,"Artificial","B",NA,2,"Artificial",2,"Plantation",50,80,90,1,"1–4 stems",NA,NA,NA,NA
51,42.917313,-4.54501,"A","4","A","1","43","Quercus pyrenaica",NA,3,4,0,NA,NA,NA,2,"Thicket",NA,NA,1,"Natural","4","Mixed: seed and sprout",NA,NA,NA,NA,NA,20,NA,3,">15 stems",1,"1–4 stems",3,">15 stems"
52,42.904935,-4.777437,"A","1","A","1","71","Fagus sylvatica",13,16,21,0,0,"4","Old growth",4,"Old growth",4,"Old growth",1,"Natural","4","Mixed: seed and sprout",1,"Natural",4,"Mixed: seed and sprout",90,70,70,2,"5–15 stems",2,"5–15 stems",NA,NA
53,42.905124,-4.765193,"A","1",NA,NA,"43","Quercus pyrenaica",8,16,NA,0,NA,NA,NA,4,"Old growth",NA,NA,1,"Natural","4","Mixed: seed and sprout",NA,NA,NA,NA,NA,90,NA,3,">15 stems",3,">15 stems",NA,NA
57,42.907978,-4.569276,"A","4C",NA,NA,"295","Prunus spinosa",NA,NA,NA,0,NA,NA,NA,1,"Young growth",NA,NA,1,"Natural","4","Mixed: seed and sprout",NA,NA,NA,NA,NA,20,NA,NA,NA,2,"5–15 stems",NA,NA
57,42.907978,-4.569276,"A","4C",NA,NA,"43","Quercus pyrenaica",NA,2,NA,0,NA,NA,NA,3,"Polewood",NA,NA,1,"Natural","4","Mixed: seed and sprout",NA,NA,NA,NA,NA,80,NA,2,"5–15 stems",NA,NA,NA,NA
58,42.896684,-4.72821,"A","1",NA,NA,"21","Pinus sylvestris",29,47,NA,35,NA,"3","Polewood",3,"Polewood",NA,NA,2,"Artificial","A",NA,NA,NA,NA,NA,90,90,NA,1,"1–4 stems",NA,NA,NA,NA
59,42.896868,-4.715967,"A","3E",NA,NA,"21","Pinus sylvestris",NA,27,NA,15,NA,NA,NA,2,"Thicket",NA,NA,2,"Artificial","A",NA,NA,NA,NA,NA,NA,100,NA,2,"5–15 stems",NA,NA,NA,NA
60,42.89766952,-4.64260042,"A","1","A","1","37","Juniperus communis",NA,NA,NA,0,NA,NA,NA,1,"Young growth",NA,NA,1,"Natural","1","Seed",NA,NA,NA,NA,NA,10,NA,NA,NA,3,">15 stems",NA,NA
60,42.89766952,-4.64260042,"A","1","A","1","71","Fagus sylvatica",17,20,24,0,0,NA,NA,4,"Old growth",4,"Old growth",1,"Natural","4","Mixed: seed and sprout",1,"Natural",4,"Mixed: seed and sprout",NA,80,70,3,">15 stems",3,">15 stems",3,">15 stems"
62,42.887497,-4.740199,"A","4","A","1","21","Pinus sylvestris",24,37,57,30,0,NA,NA,4,"Old growth",4,"Old growth",2,"Artificial","A",NA,2,"Artificial",2,"Plantation",NA,100,100,1,"1–4 stems",NA,NA,NA,NA
