"Estadillo","lat","lng","ClaIFN3","SubclaseIFN3","ClaIFN4","SubclaseIFN4","YearNFI2","YearNFI3","YearNFI4","CanopyNFI2","CanopyNFI3","CanopyNFI4","NtreesNFI2","NtreesNFI3","NtreesNFI4","DeadTreesNFI2","DeadTreesNFI3","DeadTreesNFI4","HoNFI2","HoNFI3","HoNFI4","HartNFI2","HartNFI3","HartNFI4","ShannonNFI2","ShannonNFI3","ShannonNFI4","SDIR_NFI2","SDIR_NFI3","SDIR_NFI4","especie_dominanteIFN2","CompositionNFI2","especie_dominanteIFN3","CompositionNFI3","especie_dominanteIFN4","CompositionNFI4","nCD.x","StructureNFI2","nCD.y","StructureNFI3","nCD","StructureNFI4","DmNFI2","HmNFI2","SlendernessNFI2","DgNFI2","DmNFI3","HmNFI3","SlendernessNFI3","DgNFI3","DmNFI4","HmNFI4","SlendernessNFI4","DgNFI4"
22,42.857966,-4.898488,"A","4","A","1",91,"2004-01-03 00:00","2019-09-15T22:00:00Z",50,75,80,23,25,26,0,0,2,11.620055966111,13.99676978295,14.7544911347783,60.5860864612355,31.6727136681459,35.8887458519963,0.571965810398147,0.398886140819908,0.460464627423575,1.16558818164981,0.768743928689055,0.699984986143204,43,"mixed",71,"mixed",71,"mixed",10,"Uneven-aged",9,"Uneven-aged",10,"Uneven-aged",0.555565217391304,12.3478260869565,22.2257004226013,0.627845072277078,0.32318,11.96,37.0072405470636,0.380762931494125,0.360961538461538,12.5038461134984,34.6403834790579,0.413313859135943
23,42.848966,-4.898212,NA,NA,NA,NA,91,"03/31/03 00:00:00",NA,90,90,NA,36,41,NA,0,2,NA,NA,NA,NA,NA,NA,NA,0.0386008331717598,0,0,1.35103478524025,NA,NA,71,"mixed",NA,NA,NA,NA,11,"Uneven-aged",1,"Even-aged",1,"Even-aged",0.301652777777778,13.5694444444444,44.9836548644044,0.370793771297919,0.308756097560976,11.8658536585366,38.4311556995023,0.373090765782531,NA,NA,NA,NA
24,42.84937112,-4.88538975,"A","1","A","1",91,"03/31/03 00:00:00","2019-08-04T22:00:00Z",30,30,60,1,2,12,0,0,0,9.5,10.1538461538462,10.901346144275,289.80833254105,150.367191761352,51.0107863229494,0,0,0.684405267397234,0.0171923679256803,0.0400798712931513,0.290805242255543,71,"pure",71,"pure",71,"mixed",1,"Even-aged",2,"Even-aged",4,"Uneven-aged",0.286,9.5,33.2167832167832,0.286,0.21525,10.25,47.6190476190476,0.232449187996001,0.181,10.7583332856496,59.4383054455781,0.193540478109016
25,42.849569,-4.861516,"A","1",NA,NA,91,"2004-07-03 00:00",NA,25,25,NA,1,1,NA,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0.0477693331018088,0.0519090208954775,NA,43,"pure",43,"pure",NA,NA,1,"Even-aged",1,"Even-aged",1,"Even-aged",0.597,8,13.4003350083752,0.597,0.6285,8.5,13.5242641209228,0.6285,NA,NA,NA,NA
50,42.92601198,-4.56981941,NA,NA,"A","4",91,"2006-05-03 00:00","2019-08-22T22:00:00Z",40,60,70,1,NA,28,NA,NA,0,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,1.44806916360413,NA,NA,NA,NA,42,"pure",1,"Even-aged",1,"Even-aged",4,"Uneven-aged",NA,NA,NA,NA,NA,NA,NA,NA,0.183464285714286,8.00357144219534,43.6246837417694,0.192323388370436
51,42.917313,-4.54501,"A","4","A","1",91,"2006-05-03 00:00","2019-08-11T22:00:00Z",40,75,95,1,44,65,NA,0,1,NA,7.6494523667748,11.9463224045022,NA,31.8357063528231,19.7388889364952,0,0.515740213754455,0.49784821890877,NA,0.775670060675168,1.22258119586826,NA,NA,21,"pure",21,"pure",1,"Even-aged",4,"Uneven-aged",5,"Uneven-aged",NA,NA,NA,NA,0.156420454545455,6.57954545454545,42.0632037776971,0.161279842199824,0.203438461538462,10.7769230622512,52.9738722007279,0.210026600879325
52,42.904935,-4.777437,"A","1","A","1",91,"05/22/03 00:00:00","2019-07-10T22:00:00Z",80,90,90,13,22,27,0,0,2,14.1998749911813,15.6410643021031,16.9763156456461,48.3864174532539,25.3003234661546,19.6590910783082,0,0.961964065243213,0.85971048518046,0.370137982557641,0.481964887301158,1.15974514143248,71,"pure",71,"mixed",71,"mixed",5,"Uneven-aged",8,"Uneven-aged",8,"Uneven-aged",0.320269230769231,13.7692307692308,42.9926744325688,0.343342366697194,0.291568181818182,13.1136363636364,44.9762257385611,0.325719570545529,0.28737037037037,14.137037118276,49.1944841079328,0.323840581493769
53,42.905124,-4.765193,"A","1",NA,NA,91,"04/23/03 00:00:00",NA,85,70,NA,8,16,NA,0,2,NA,NA,NA,NA,NA,NA,NA,0,0,0,1.32403328765863,3.05702848593078,NA,43,"pure",43,"pure",NA,NA,6,"Uneven-aged",4,"Uneven-aged",1,"Even-aged",0.294375,9.5,32.2717622080679,0.340324752993372,0.2188125,7.625,34.8471865181377,0.283578527484011,NA,NA,NA,NA
57,42.907978,-4.569276,"A","4C",NA,NA,91,"2006-03-03 00:00",NA,30,40,NA,1,2,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,0.0944687662562707,NA,NA,NA,43,"pure",NA,NA,1,"Even-aged",2,"Even-aged",1,"Even-aged",NA,NA,NA,NA,0.1045,4.75,45.4545454545455,0.106894808105913,NA,NA,NA,NA
58,42.896684,-4.72821,"A","1",NA,NA,91,"03/20/03 00:00:00",NA,90,90,NA,29,47,NA,0,1,NA,NA,NA,NA,NA,NA,NA,0,0,0,0.526670244522366,0.739083551931269,NA,21,"pure",21,"pure",NA,NA,3,"Uneven-aged",4,"Uneven-aged",1,"Even-aged",0.135844827586207,7.48275862068965,55.0831323772052,0.138826206161666,0.159212765957447,10.3085106382979,64.7467593211279,0.162596256270529,NA,NA,NA,NA
59,42.896868,-4.715967,"A","3E",NA,NA,91,"03/20/03 00:00:00",NA,50,80,NA,1,27,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,0.212188639140615,NA,NA,NA,21,"pure",NA,NA,1,"Even-aged",3,"Uneven-aged",1,"Even-aged",NA,NA,NA,NA,0.131425925925926,5.81481481481481,44.2440467803297,0.137551976708066,NA,NA,NA,NA
60,42.89766952,-4.64260042,"A","1","A","1",91,"05/27/03 00:00:00","2019-09-22T22:00:00Z",70,70,70,17,20,25,0,4,8,11.2926446973694,12.3,12.1227105931832,49.2442468918461,47.4411407265731,32.820039971828,0,0,0.189621807649668,0.374409954975726,0.353852080974114,0.700449837730411,71,"pure",71,"pure",71,"pure",5,"Uneven-aged",6,"Uneven-aged",7,"Uneven-aged",0.258382352941176,9.76470588235294,37.7916903813318,0.265686319911725,0.2646,8.1,30.6122448979592,0.27236000991335,0.2366,9.98399991989136,42.1978018592196,0.256126921661898
